pool,pool_label,week_start,next_cumulative_net_return_bps,pool_next_cumulative_net_return_bps,next_cumulative_alpha_bps
w0931_0940_1m,09:31-09:40 / 1m,2022-01-04,-73.725422,-47.786344,-25.939078
w0931_0940_1m,09:31-09:40 / 1m,2022-01-05,-71.076201,-58.888363,-12.187839
w0931_0940_1m,09:31-09:40 / 1m,2022-01-06,-92.144548,-90.170658,-1.973890
w0931_0940_1m,09:31-09:40 / 1m,2022-01-07,-142.204438,-142.593834,0.389396
w0931_0940_1m,09:31-09:40 / 1m,2022-01-10,-75.687208,-102.874609,27.187401
w0931_0940_1m,09:31-09:40 / 1m,2022-01-11,-44.802873,-81.524782,36.721910
w0931_0940_1m,09:31-09:40 / 1m,2022-01-12,-50.272884,-93.148436,42.875552
w0931_0940_1m,09:31-09:40 / 1m,2022-01-13,-100.997463,-159.197358,58.199895
w0931_0940_1m,09:31-09:40 / 1m,2022-01-14,18.262607,-80.496701,98.759307
w0931_0940_1m,09:31-09:40 / 1m,2022-01-17,27.273047,-73.574562,100.847609
w0931_0940_1m,09:31-09:40 / 1m,2022-01-18,-46.240796,-118.218223,71.977427
w0931_0940_1m,09:31-09:40 / 1m,2022-01-19,-165.686077,-243.714397,78.028319
w0931_0940_1m,09:31-09:40 / 1m,2022-01-20,-366.389538,-406.551964,40.162426
w0931_0940_1m,09:31-09:40 / 1m,2022-01-21,-411.469454,-451.237485,39.768030
w0931_0940_1m,09:31-09:40 / 1m,2022-01-24,-543.303841,-625.718845,82.415004
w0931_0940_1m,09:31-09:40 / 1m,2022-01-25,-700.856960,-780.743922,79.886962
w0931_0940_1m,09:31-09:40 / 1m,2022-01-26,-896.852702,-941.956037,45.103334
w0931_0940_1m,09:31-09:40 / 1m,2022-01-27,-1017.701698,-1023.173302,5.471604
w0931_0940_1m,09:31-09:40 / 1m,2022-01-28,-918.822027,-936.833672,18.011645
w0931_0940_1m,09:31-09:40 / 1m,2022-02-07,-796.447118,-860.741635,64.294517
w0931_0940_1m,09:31-09:40 / 1m,2022-02-08,-612.830273,-712.401160,99.570887
w0931_0940_1m,09:31-09:40 / 1m,2022-02-09,-510.880838,-671.252751,160.371913
w0931_0940_1m,09:31-09:40 / 1m,2022-02-10,-574.272421,-791.099716,216.827295
w0931_0940_1m,09:31-09:40 / 1m,2022-02-11,-633.460635,-869.558975,236.098340
w0931_0940_1m,09:31-09:40 / 1m,2022-02-14,-566.558027,-825.825386,259.267359
w0931_0940_1m,09:31-09:40 / 1m,2022-02-15,-437.525911,-730.093964,292.568053
w0931_0940_1m,09:31-09:40 / 1m,2022-02-16,-398.079440,-700.375216,302.295776
w0931_0940_1m,09:31-09:40 / 1m,2022-02-17,-350.011521,-660.187236,310.175715
w0931_0940_1m,09:31-09:40 / 1m,2022-02-18,-146.889380,-545.535390,398.646010
w0931_0940_1m,09:31-09:40 / 1m,2022-02-21,-131.144704,-560.610566,429.465862
w0931_0940_1m,09:31-09:40 / 1m,2022-02-22,-47.485233,-495.809393,448.324160
w0931_0940_1m,09:31-09:40 / 1m,2022-02-23,-59.772274,-552.025407,492.253133
w0931_0940_1m,09:31-09:40 / 1m,2022-02-24,-100.371361,-605.851577,505.480216
w0931_0940_1m,09:31-09:40 / 1m,2022-02-25,-97.413347,-612.760800,515.347453
w0931_0940_1m,09:31-09:40 / 1m,2022-02-28,-0.654933,-545.669831,545.014899
w0931_0940_1m,09:31-09:40 / 1m,2022-03-01,20.301452,-509.132638,529.434089
w0931_0940_1m,09:31-09:40 / 1m,2022-03-02,65.731053,-496.051861,561.782914
w0931_0940_1m,09:31-09:40 / 1m,2022-03-03,8.368523,-579.727914,588.096437
w0931_0940_1m,09:31-09:40 / 1m,2022-03-04,-47.660198,-689.952551,642.292353
w0931_0940_1m,09:31-09:40 / 1m,2022-03-07,-231.776515,-890.290208,658.513692
w0931_0940_1m,09:31-09:40 / 1m,2022-03-08,-344.623022,-1078.443960,733.820938
w0931_0940_1m,09:31-09:40 / 1m,2022-03-09,-217.249477,-1053.931626,836.682149
w0931_0940_1m,09:31-09:40 / 1m,2022-03-10,-152.281627,-1016.523108,864.241481
