窗口,训练,Label,Label涨停贡献/总超额（收盘涨停贡献/总超额）
09:31-09:40,Baseline,1m,2.83/11.96 (24.04/18.07)
09:31-09:40,Baseline,3m,4.84/12.82 (25.02/20.64)
09:31-09:40,无涨跌停,1m,1.30/11.34 (12.98/19.33)
09:31-09:40,无涨跌停,3m,1.67/11.94 (10.83/21.36)
10:01-10:10,Baseline,1m,0.65/8.52 (10.60/9.98)
10:01-10:10,Baseline,3m,1.06/8.54 (11.96/12.53)
10:01-10:10,无涨跌停,1m,0.43/8.48 (7.31/11.36)
10:01-10:10,无涨跌停,3m,0.54/8.41 (6.94/14.00)
11:01-11:10,Baseline,1m,0.33/7.77 (5.37/7.62)
11:01-11:10,Baseline,3m,0.50/7.92 (5.63/8.82)
11:01-11:10,无涨跌停,1m,0.24/7.82 (3.83/9.00)
11:01-11:10,无涨跌停,3m,0.32/8.01 (3.51/10.30)
14:01-14:10,Baseline,1m,0.16/7.63 (1.55/7.59)
14:01-14:10,Baseline,3m,0.27/8.08 (1.68/9.70)
14:01-14:10,无涨跌停,1m,0.13/7.75 (1.27/8.15)
14:01-14:10,无涨跌停,3m,0.19/8.17 (1.10/9.96)
