窗口,训练,Label,Top100实际涨停率（相对Pool L富集）
09:31-09:40,Baseline,1m,4.617% (4.80x)
09:31-09:40,Baseline,3m,4.662% (4.85x)
09:31-09:40,无涨跌停,1m,2.490% (2.59x)
09:31-09:40,无涨跌停,3m,2.034% (2.12x)
10:01-10:10,Baseline,1m,2.580% (2.68x)
10:01-10:10,Baseline,3m,2.813% (2.93x)
10:01-10:10,无涨跌停,1m,1.750% (1.82x)
10:01-10:10,无涨跌停,3m,1.624% (1.69x)
11:01-11:10,Baseline,1m,1.601% (1.67x)
11:01-11:10,Baseline,3m,1.637% (1.70x)
11:01-11:10,无涨跌停,1m,1.140% (1.19x)
11:01-11:10,无涨跌停,3m,1.011% (1.05x)
14:01-14:10,Baseline,1m,0.683% (0.71x)
14:01-14:10,Baseline,3m,0.707% (0.74x)
14:01-14:10,无涨跌停,1m,0.517% (0.54x)
14:01-14:10,无涨跌停,3m,0.439% (0.46x)
