job,state,succeeded_pods,failed_pods,start_time_utc,completion_time_utc,completed_indexes
os-audit-ds350-m30-label-limit-v1,completed,2,0,2026-08-11T03:48:14Z,2026-08-11T03:58:58Z,"0,1"
os-audit-ds350-m30-next-session-v3,completed,1,0,2026-08-11T02:25:30Z,2026-08-11T02:29:19Z,0
os-audit-ds350-m30-short-forward-v1,completed,2,0,2026-08-11T03:48:15Z,2026-08-11T03:55:58Z,"0,1"
os-ds350-2022-2025-all-a-overnight-v1,completed,1,0,2026-08-11T02:00:02Z,2026-08-11T02:01:20Z,
os-ds350-2026-pool-source-probe-v1,completed,1,0,2026-08-11T01:54:09Z,2026-08-11T01:54:19Z,
os-ds350-2026h1-daily-risk-summary-v1,completed,1,0,2026-08-11T01:56:15Z,2026-08-11T01:56:24Z,
os-ds350-2026h1-entry-limit-state-v1,completed,1,0,2026-08-11T02:34:39Z,2026-08-11T02:35:01Z,
os-ds350-2026h1-limit-attribution-v3,completed,1,0,2026-08-11T01:49:35Z,2026-08-11T01:50:05Z,
os-ds350-2026h1-loss-compare-v1,completed,1,0,2026-08-11T05:29:13Z,2026-08-11T05:32:06Z,
os-ds350-2026h1-model-tradeability-v1,completed,1,0,2026-08-11T04:11:46Z,2026-08-11T04:12:58Z,
os-ds350-2026h1-top100-capacity-v1,completed,1,0,2026-08-11T05:38:21Z,2026-08-11T05:53:15Z,
os-ds350-2026h1-top100-capacity-v2,completed,1,0,2026-08-11T05:57:13Z,2026-08-11T06:00:54Z,
os-ds350-analysis-result-probe-v1,completed,1,0,2026-08-11T03:55:14Z,2026-08-11T03:55:20Z,
os-ds350-close-next-session-limit-v1,completed,1,0,2026-08-11T02:20:46Z,2026-08-11T02:23:56Z,
os-ds350-existing-audit-artifact-probe-v1,completed,1,0,2026-08-11T02:16:28Z,2026-08-11T02:16:32Z,
os-ds350-existing-audit-artifact-probe-v2,completed,1,0,2026-08-11T02:17:25Z,2026-08-11T02:17:30Z,
os-ds350-existing-audit-artifact-probe-v3,completed,1,0,2026-08-11T02:30:58Z,2026-08-11T02:31:03Z,
os-ds350-stock-pool-coverage-probe-v1,completed,1,0,2026-08-11T03:58:09Z,2026-08-11T03:58:15Z,
os-ds350-top1000-limit-decomp-v1,failed,0,1,2026-08-11T02:20:46Z,,
os-ds350-top1000-limit-decomp-v2,failed,0,1,2026-08-11T02:23:27Z,,
os-ds350-top1000-limit-decomp-v3,completed,1,0,2026-08-11T02:26:35Z,2026-08-11T02:29:45Z,
os-ds350-tradeability-schema-probe-v1,completed,1,0,2026-08-11T03:47:13Z,2026-08-11T03:47:18Z,
os-nn-ds350-close-loss-2026h1-v1,completed,2,0,2026-08-11T05:12:50Z,2026-08-11T05:29:00Z,"0,1"
os-nn-ds350-h1m-2026h1-v1,completed,1,0,2026-08-11T03:47:58Z,2026-08-11T04:01:47Z,
os-stock-pool-object-probe-v1,completed,1,0,2026-08-11T01:53:23Z,2026-08-11T01:53:28Z,
