scope,same_day_strength_quintile,rows,same_day_mean_bps,overnight_mean_bps,entry_to_next_close_mean_bps,overnight_negative_pct
pool_L,1,24225.0,-317.6433,7.25696,-310.5118,51.461815
pool_L,2,24225.0,-122.960754,10.192565,-112.79671,50.207783
pool_L,3,24225.0,-18.287773,8.7602215,-9.315949,50.86857
pool_L,4,24225.0,106.09937,5.26969,111.79901,52.539925
pool_L,5,24225.0,448.53302,14.129253,464.60233,53.897766
universe,1,24225.0,-422.57767,-39.846756,-460.13983,54.764072
universe,2,24225.0,-158.24568,-18.66662,-176.44867,53.32817
universe,3,24225.0,-16.761429,-23.716152,-40.1278,54.115284
universe,4,24225.0,157.17238,-32.708263,124.46456,56.13128
universe,5,24225.0,613.2606,-34.906036,576.65625,57.439575
