case,fold,audit_valid_rows,original_rows,matched_rows,score_corr,score_mean_abs_delta,score_max_abs_delta,pool_lag0_top100_overlap
w0931_0940_h1m,month_2022-01,5380330,5380330,5380330,0.9999999999999999,0.0,0.0,1.0
w0931_0940_h1m,month_2022-07,5951569,5951569,5951569,0.9788675212627195,0.03051699105627635,6.130822777748108,0.84508
w0931_0940_h1m,month_2023-01,5780488,5780488,5780488,0.9614227644816754,0.03417490617609194,7.556311368942261,0.8102372881355933
w0931_0940_h1m,month_2023-07,6223665,6223665,6223665,1.0,0.0,0.0,1.0
w0931_0940_h1m,month_2024-01,5916143,5916143,5916143,1.0,0.0,0.0,1.0
w0931_0940_h1m,month_2024-07,6295947,6295947,6295947,1.0,0.0,0.0,1.0
w0931_0940_h1m,month_2025-01,5952000,5952000,5952000,0.9382319205447609,0.03649454481916794,8.42755126953125,0.7522393162393163
w0931_0940_h1m,month_2025-07,6451329,6451329,6451329,0.9999999999999999,0.0,0.0,1.0
w0931_0940_hclose,month_2022-01,5419484,5419484,5419484,1.0,0.0,0.0,1.0
w0931_0940_hclose,month_2022-07,5987888,5987888,5987888,0.9999999999999999,0.0,0.0,1.0
w0931_0940_hclose,month_2023-01,5812259,5812259,5812259,1.0,0.0,0.0,1.0
w0931_0940_hclose,month_2023-07,6249915,6249915,6249915,0.6604771662070654,0.05769748994770858,13.694158554077148,0.518991935483871
w0931_0940_hclose,month_2024-01,5939795,5939795,5939795,1.0,0.0,0.0,1.0
w0931_0940_hclose,month_2024-07,6325242,6325242,6325242,0.563757061340335,0.10407084198426222,22.542968273162842,0.442608
w0931_0940_hclose,month_2025-01,5962354,5962354,5962354,0.5890494037770218,0.08763655149281631,15.000427484512329,0.4677948717948718
w0931_0940_hclose,month_2025-07,6458053,6458053,6458053,0.5547530740613436,0.07540246366044684,20.34907579421997,0.4505952380952381
