left_label,right_label,quarter_equal_intersection_names,quarter_equal_overlap_min,quarter_equal_jaccard,group_equal_intersection_names,group_equal_overlap_min,group_equal_jaccard,intersection_p10,intersection_p50,intersection_p90,groups
1m,3m,61.962281422870326,0.6196228142287032,0.45174016545431117,61.938493292053664,0.6193849329205366,0.45150111365511086,54.0,62.0,69.0,9690
1m,10m,43.08965930301807,0.4308965930301807,0.2778401851375109,43.06222910216718,0.43062229102167177,0.2776295184158916,33.0,43.0,53.0,9690
1m,1h,31.44899254658026,0.3144899254658026,0.18859910894196402,31.442002063983487,0.3144200206398349,0.18855143553548545,23.0,31.0,40.0,9690
1m,close,27.30561724379561,0.2730561724379561,0.1597598305070123,27.29205366357069,0.2729205366357069,0.15967033766677172,19.0,27.0,36.0,9690
3m,10m,51.94213664129391,0.519421366412939,0.35449118493659165,51.896800825593395,0.5189680082559339,0.3540951200558249,42.0,52.0,61.0,9690
3m,1h,36.8158878289113,0.368158878289113,0.22768369226447843,36.793498452012386,0.36793498452012385,0.2275191822678664,28.0,37.0,45.0,9690
3m,close,32.01548274109025,0.3201548274109025,0.19237172574240524,31.9875128998968,0.31987512899896803,0.1921769370607487,24.0,32.0,40.0,9690
10m,1h,44.22355287775911,0.4422355287775911,0.28631877101680436,44.20773993808049,0.4420773993808049,0.28618939150980993,36.0,44.0,53.0,9690
10m,close,38.099338732667235,0.3809933873266724,0.23738782024015573,38.08307533539732,0.38083075335397315,0.23726240708092922,29.0,38.0,46.0,9690
1h,close,43.20415668744218,0.4320415668744218,0.27769840996425155,43.17430340557276,0.43174303405572756,0.27745593892491566,35.0,43.0,51.0,9690
