pool,pool_label,week_start,variant,next_cumulative_net_return_bps,next_cumulative_alpha_bps
baseline_pool_l,gated,2022-01-04,gated,-58.971626,-10.692852459452332
baseline_pool_l,gated,2022-01-05,gated,-69.681270,-10.310231987546764
baseline_pool_l,gated,2022-01-06,gated,-110.630536,-19.845424388599753
baseline_pool_l,gated,2022-01-07,gated,-171.691717,-28.01291426519748
baseline_pool_l,gated,2022-01-10,gated,-132.945915,-28.57038095060541
baseline_pool_l,gated,2022-01-11,gated,-111.621202,-28.462588240846898
baseline_pool_l,gated,2022-01-12,gated,-136.254248,-41.4077880988566
baseline_pool_l,gated,2022-01-13,gated,-189.780520,-28.905250946240756
baseline_pool_l,gated,2022-01-14,gated,-56.905380,25.227375056751214
baseline_pool_l,gated,2022-01-17,gated,-45.298135,29.63405817198523
baseline_pool_l,gated,2022-01-18,gated,-113.003472,6.461077360803742
baseline_pool_l,gated,2022-01-19,gated,-222.967512,22.023897460158338
baseline_pool_l,gated,2022-01-20,gated,-411.549390,-3.9510177175188232
baseline_pool_l,gated,2022-01-21,gated,-466.204886,-14.504543525986207
baseline_pool_l,gated,2022-01-24,gated,-599.787751,25.89702316942271
baseline_pool_l,gated,2022-01-25,gated,-774.011780,6.4603835867460475
baseline_pool_l,gated,2022-01-26,gated,-952.890588,-11.242341596285769
baseline_pool_l,gated,2022-01-27,gated,-1069.436136,-45.80779952626506
baseline_pool_l,gated,2022-01-28,gated,-987.929976,-50.48664459621807
baseline_pool_l,gated,2022-02-07,gated,-909.290351,-48.06789047369125
baseline_pool_l,gated,2022-02-08,gated,-730.798550,-18.945604208144914
baseline_pool_l,gated,2022-02-09,gated,-656.199065,13.772908580249918
baseline_pool_l,gated,2022-02-10,gated,-753.853232,35.739571664056825
baseline_pool_l,gated,2022-02-11,gated,-829.546914,38.66505549251531
baseline_pool_l,gated,2022-02-14,gated,-765.083142,59.091899266427845
baseline_pool_l,gated,2022-02-15,gated,-652.651477,75.6836805203302
baseline_pool_l,gated,2022-02-16,gated,-618.772915,79.92944395495317
baseline_pool_l,gated,2022-02-17,gated,-572.757437,85.15553211453653
baseline_pool_l,gated,2022-02-18,gated,-400.329382,142.40007924198432
baseline_pool_l,gated,2022-02-21,gated,-389.482190,167.87674445323523
baseline_pool_l,gated,2022-02-22,gated,-313.497765,179.1506331533941
baseline_pool_l,gated,2022-02-23,gated,-331.120653,218.02995135647228
baseline_pool_l,gated,2022-02-24,gated,-368.675095,234.38733482915188
baseline_pool_l,gated,2022-02-25,gated,-365.737170,244.1957525437981
baseline_pool_l,gated,2022-02-28,gated,-285.624996,256.75651332718263
baseline_pool_l,gated,2022-03-01,gated,-270.257570,235.7195891595527
baseline_pool_l,gated,2022-03-02,gated,-216.022944,276.7748645435584
baseline_pool_l,gated,2022-03-03,gated,-283.168161,293.0188836423437
baseline_pool_l,gated,2022-03-04,gated,-351.695758,334.2975474499778
baseline_pool_l,gated,2022-03-07,gated,-551.968550,334.44285813018644
baseline_pool_l,gated,2022-03-08,gated,-707.946351,366.2106606965634
baseline_pool_l,gated,2022-03-09,gated,-596.170188,452.7358118183256
baseline_pool_l,gated,2022-03-10,gated,-549.200305,461.7043871087325
baseline_pool_l,gated,2022-03-11,gated,-544.343355,472.98706701713775
baseline_pool_l,gated,2022-03-14,gated,-835.060368,534.444440755502
baseline_pool_l,gated,2022-03-15,gated,-812.018220,596.7455403442935
baseline_pool_l,gated,2022-03-16,gated,-565.382842,627.2514144233627
baseline_pool_l,gated,2022-03-17,gated,-492.769442,620.9179827546552
baseline_pool_l,gated,2022-03-18,gated,-365.355565,626.5215237698101
baseline_pool_l,gated,2022-03-21,gated,-332.803221,626.8241076791801
baseline_pool_l,gated,2022-03-22,gated,-324.966040,590.0585987092893
baseline_pool_l,gated,2022-03-23,gated,-372.120669,582.8180185912248
baseline_pool_l,gated,2022-03-24,gated,-417.935240,570.0891665007694
baseline_pool_l,gated,2022-03-25,gated,-528.285878,521.9832483256355
baseline_pool_l,gated,2022-03-28,gated,-552.464076,517.4251476660876
baseline_pool_l,gated,2022-03-29,gated,-530.094850,520.7181789815648
baseline_pool_l,gated,2022-03-30,gated,-472.048737,524.1932167303949
baseline_pool_l,gated,2022-03-31,gated,-493.417125,512.6518514651668
baseline_pool_l,gated,2022-04-01,gated,-438.988958,498.577109866918
baseline_pool_l,gated,2022-04-06,gated,-519.910764,493.46782993617876
baseline_pool_l,gated,2022-04-07,gated,-642.623114,495.635551885145
baseline_pool_l,gated,2022-04-08,gated,-784.859693,544.1948077828863
baseline_pool_l,gated,2022-04-11,gated,-792.781499,562.1465056132377
baseline_pool_l,gated,2022-04-12,gated,-834.496070,529.400880974948
baseline_pool_l,gated,2022-04-13,gated,-796.668760,563.1162908584322
baseline_pool_l,gated,2022-04-14,gated,-826.506187,590.4446587571684
baseline_pool_l,gated,2022-04-15,gated,-808.788574,566.495196695977
baseline_pool_l,gated,2022-04-18,gated,-674.950826,555.0914533721966
baseline_pool_l,gated,2022-04-19,gated,-781.870730,506.06814237304127
baseline_pool_l,gated,2022-04-20,gated,-1038.761562,507.8662783141317
baseline_pool_l,gated,2022-04-21,gated,-1257.558565,501.13945738669554
baseline_pool_l,gated,2022-04-22,gated,-1647.190828,494.3435477281539
baseline_pool_l,gated,2022-04-25,gated,-2019.488747,555.950850276196
baseline_pool_l,gated,2022-04-26,gated,-1893.878348,631.5585268539858
baseline_pool_l,gated,2022-04-27,gated,-1687.828869,660.1101742675846
baseline_pool_l,gated,2022-04-28,gated,-1510.827808,668.3699119230823
baseline_pool_l,gated,2022-04-29,gated,-1226.238116,683.7019146586615
baseline_pool_l,gated,2022-05-05,gated,-1160.681842,709.378580538086
baseline_pool_l,gated,2022-05-06,gated,-1015.107475,716.5867456838794
baseline_pool_l,gated,2022-05-09,gated,-879.225112,730.7444306321108
baseline_pool_l,gated,2022-05-10,gated,-742.351446,706.5184887047387
baseline_pool_l,gated,2022-05-11,gated,-711.628118,713.1081569865031
baseline_pool_l,gated,2022-05-12,gated,-667.010489,703.1012698790016
