score_bucket,lower_bps,observations,rank_start,rank_end,upper_bps,midpoint_bps,interval,share_within_score_bucket
1,-5400,1,1,100,-5300,-5350.0,"[-5400, -5300)",1.0319917440660475e-06
1,-5300,0,1,100,-5200,-5250.0,"[-5300, -5200)",0.0
1,-5200,0,1,100,-5100,-5150.0,"[-5200, -5100)",0.0
1,-5100,0,1,100,-5000,-5050.0,"[-5100, -5000)",0.0
1,-5000,0,1,100,-4900,-4950.0,"[-5000, -4900)",0.0
1,-4900,0,1,100,-4800,-4850.0,"[-4900, -4800)",0.0
1,-4800,2,1,100,-4700,-4750.0,"[-4800, -4700)",2.063983488132095e-06
1,-4700,1,1,100,-4600,-4650.0,"[-4700, -4600)",1.0319917440660475e-06
1,-4600,1,1,100,-4500,-4550.0,"[-4600, -4500)",1.0319917440660475e-06
1,-4500,2,1,100,-4400,-4450.0,"[-4500, -4400)",2.063983488132095e-06
1,-4400,2,1,100,-4300,-4350.0,"[-4400, -4300)",2.063983488132095e-06
1,-4300,2,1,100,-4200,-4250.0,"[-4300, -4200)",2.063983488132095e-06
1,-4200,5,1,100,-4100,-4150.0,"[-4200, -4100)",5.159958720330238e-06
1,-4100,4,1,100,-4000,-4050.0,"[-4100, -4000)",4.12796697626419e-06
1,-4000,4,1,100,-3900,-3950.0,"[-4000, -3900)",4.12796697626419e-06
1,-3900,2,1,100,-3800,-3850.0,"[-3900, -3800)",2.063983488132095e-06
1,-3800,7,1,100,-3700,-3750.0,"[-3800, -3700)",7.223942208462332e-06
1,-3700,9,1,100,-3600,-3650.0,"[-3700, -3600)",9.287925696594427e-06
1,-3600,9,1,100,-3500,-3550.0,"[-3600, -3500)",9.287925696594427e-06
1,-3500,15,1,100,-3400,-3450.0,"[-3500, -3400)",1.5479876160990712e-05
1,-3400,10,1,100,-3300,-3350.0,"[-3400, -3300)",1.0319917440660475e-05
1,-3300,9,1,100,-3200,-3250.0,"[-3300, -3200)",9.287925696594427e-06
1,-3200,22,1,100,-3100,-3150.0,"[-3200, -3100)",2.2703818369453044e-05
1,-3100,32,1,100,-3000,-3050.0,"[-3100, -3000)",3.302373581011352e-05
1,-3000,45,1,100,-2900,-2950.0,"[-3000, -2900)",4.6439628482972134e-05
1,-2900,16,1,100,-2800,-2850.0,"[-2900, -2800)",1.651186790505676e-05
1,-2800,10,1,100,-2700,-2750.0,"[-2800, -2700)",1.0319917440660475e-05
1,-2700,15,1,100,-2600,-2650.0,"[-2700, -2600)",1.5479876160990712e-05
1,-2600,18,1,100,-2500,-2550.0,"[-2600, -2500)",1.8575851393188854e-05
1,-2500,23,1,100,-2400,-2450.0,"[-2500, -2400)",2.3735810113519093e-05
1,-2400,31,1,100,-2300,-2350.0,"[-2400, -2300)",3.199174406604747e-05
1,-2300,37,1,100,-2200,-2250.0,"[-2300, -2200)",3.818369453044375e-05
1,-2200,62,1,100,-2100,-2150.0,"[-2200, -2100)",6.398348813209494e-05
1,-2100,85,1,100,-2000,-2050.0,"[-2100, -2000)",8.771929824561403e-05
1,-2000,101,1,100,-1900,-1950.0,"[-2000, -1900)",0.00010423116615067079
1,-1900,143,1,100,-1800,-1850.0,"[-1900, -1800)",0.0001475748194014448
1,-1800,184,1,100,-1700,-1750.0,"[-1800, -1700)",0.00018988648090815274
1,-1700,251,1,100,-1600,-1650.0,"[-1700, -1600)",0.0002590299277605779
1,-1600,406,1,100,-1500,-1550.0,"[-1600, -1500)",0.00041898864809081525
1,-1500,491,1,100,-1400,-1450.0,"[-1500, -1400)",0.0005067079463364293
1,-1400,760,1,100,-1300,-1350.0,"[-1400, -1300)",0.000784313725490196
1,-1300,1254,1,100,-1200,-1250.0,"[-1300, -1200)",0.0012941176470588236
1,-1200,1913,1,100,-1100,-1150.0,"[-1200, -1100)",0.0019742002063983487
1,-1100,2834,1,100,-1000,-1050.0,"[-1100, -1000)",0.0029246646026831785
1,-1000,4403,1,100,-900,-950.0,"[-1000, -900)",0.004543859649122807
1,-900,7016,1,100,-800,-850.0,"[-900, -800)",0.007240454076367389
1,-800,10588,1,100,-700,-750.0,"[-800, -700)",0.010926728586171311
1,-700,17218,1,100,-600,-650.0,"[-700, -600)",0.017768833849329205
1,-600,27918,1,100,-500,-550.0,"[-600, -500)",0.028811145510835915
1,-500,45542,1,100,-400,-450.0,"[-500, -400)",0.04699896800825593
1,-400,70898,1,100,-300,-350.0,"[-400, -300)",0.07316615067079463
1,-300,100811,1,100,-200,-250.0,"[-300, -200)",0.10403611971104232
1,-200,124151,1,100,-100,-150.0,"[-200, -100)",0.12812280701754386
1,-100,124879,1,100,0,-50.0,"[-100, 0)",0.12887409700722394
1,0,104842,1,100,100,50.0,"[0, 100)",0.10819607843137255
1,100,78865,1,100,200,150.0,"[100, 200)",0.08138802889576884
1,200,57991,1,100,300,250.0,"[200, 300)",0.05984623323013416
1,300,41897,1,100,400,350.0,"[300, 400)",0.043237358101135194
1,400,31291,1,100,500,450.0,"[400, 500)",0.03229205366357069
1,500,23104,1,100,600,550.0,"[500, 600)",0.02384313725490196
1,600,17869,1,100,700,650.0,"[600, 700)",0.0184406604747162
1,700,14017,1,100,800,750.0,"[700, 800)",0.014465428276573787
1,800,11306,1,100,900,850.0,"[800, 900)",0.011667698658410733
1,900,8598,1,100,1000,950.0,"[900, 1000)",0.008873065015479875
1,1000,6916,1,100,1100,1050.0,"[1000, 1100)",0.007137254901960785
1,1100,5484,1,100,1200,1150.0,"[1100, 1200)",0.005659442724458204
1,1200,4471,1,100,1300,1250.0,"[1200, 1300)",0.004614035087719299
1,1300,3540,1,100,1400,1350.0,"[1300, 1400)",0.003653250773993808
1,1400,2948,1,100,1500,1450.0,"[1400, 1500)",0.003042311661506708
1,1500,2512,1,100,1600,1550.0,"[1500, 1600)",0.002592363261093911
1,1600,2128,1,100,1700,1650.0,"[1600, 1700)",0.002196078431372549
1,1700,1694,1,100,1800,1750.0,"[1700, 1800)",0.0017481940144478845
1,1800,1325,1,100,1900,1850.0,"[1800, 1900)",0.0013673890608875128
1,1900,1129,1,100,2000,1950.0,"[1900, 2000)",0.0011651186790505677
1,2000,893,1,100,2100,2050.0,"[2000, 2100)",0.0009215686274509804
1,2100,716,1,100,2200,2150.0,"[2100, 2200)",0.00073890608875129
1,2200,603,1,100,2300,2250.0,"[2200, 2300)",0.0006222910216718266
1,2300,493,1,100,2400,2350.0,"[2300, 2400)",0.0005087719298245614
1,2400,417,1,100,2500,2450.0,"[2400, 2500)",0.00043034055727554177
1,2500,282,1,100,2600,2550.0,"[2500, 2600)",0.0002910216718266254
1,2600,229,1,100,2700,2650.0,"[2600, 2700)",0.00023632610939112488
1,2700,167,1,100,2800,2750.0,"[2700, 2800)",0.00017234262125902992
1,2800,161,1,100,2900,2850.0,"[2800, 2900)",0.00016615067079463365
1,2900,135,1,100,3000,2950.0,"[2900, 3000)",0.0001393188854489164
1,3000,96,1,100,3100,3050.0,"[3000, 3100)",9.907120743034055e-05
1,3100,106,1,100,3200,3150.0,"[3100, 3200)",0.00010939112487100103
1,3200,76,1,100,3300,3250.0,"[3200, 3300)",7.843137254901961e-05
1,3300,91,1,100,3400,3350.0,"[3300, 3400)",9.391124871001033e-05
1,3400,56,1,100,3500,3450.0,"[3400, 3500)",5.7791537667698656e-05
1,3500,65,1,100,3600,3550.0,"[3500, 3600)",6.707946336429309e-05
