pool,pool_label,week_start,variant,next_cumulative_net_return_bps,next_cumulative_alpha_bps
baseline_pool_l,lgbm328,2022-01-04,lgbm328,-109.672133,-61.3933601644188
baseline_pool_l,lgbm328,2022-01-05,lgbm328,-128.926889,-69.55585125666684
baseline_pool_l,lgbm328,2022-01-06,lgbm328,-171.949433,-81.16432130840744
baseline_pool_l,lgbm328,2022-01-07,lgbm328,-247.830811,-104.15200778591341
baseline_pool_l,lgbm328,2022-01-10,lgbm328,-225.022337,-120.6468023914533
baseline_pool_l,lgbm328,2022-01-11,lgbm328,-209.074446,-125.9158315102956
baseline_pool_l,lgbm328,2022-01-12,lgbm328,-257.160231,-162.31377058739687
baseline_pool_l,lgbm328,2022-01-13,lgbm328,-310.692224,-149.81695453478022
baseline_pool_l,lgbm328,2022-01-14,lgbm328,-186.233567,-104.10081218750807
baseline_pool_l,lgbm328,2022-01-17,lgbm328,-140.605399,-65.6732059056637
baseline_pool_l,lgbm328,2022-01-18,lgbm328,-213.919713,-94.45516392793898
baseline_pool_l,lgbm328,2022-01-19,lgbm328,-318.089241,-73.09783130505411
baseline_pool_l,lgbm328,2022-01-20,lgbm328,-491.781908,-84.18353546375909
baseline_pool_l,lgbm328,2022-01-21,lgbm328,-526.246012,-74.54566956685744
baseline_pool_l,lgbm328,2022-01-24,lgbm328,-653.019233,-27.334459624805504
baseline_pool_l,lgbm328,2022-01-25,lgbm328,-811.601637,-31.12947354443361
baseline_pool_l,lgbm328,2022-01-26,lgbm328,-976.032100,-34.383853219284674
baseline_pool_l,lgbm328,2022-01-27,lgbm328,-1109.324105,-85.69576889059715
baseline_pool_l,lgbm328,2022-01-28,lgbm328,-1040.198119,-102.75478762499654
baseline_pool_l,lgbm328,2022-02-07,lgbm328,-980.383082,-119.1606208379576
baseline_pool_l,lgbm328,2022-02-08,lgbm328,-815.398100,-103.54515485707952
baseline_pool_l,lgbm328,2022-02-09,lgbm328,-739.614922,-69.6429481631335
baseline_pool_l,lgbm328,2022-02-10,lgbm328,-838.119666,-48.52686272125425
baseline_pool_l,lgbm328,2022-02-11,lgbm328,-926.254762,-58.04279221049808
baseline_pool_l,lgbm328,2022-02-14,lgbm328,-851.368927,-27.19388560402217
baseline_pool_l,lgbm328,2022-02-15,lgbm328,-739.987956,-11.65279787618806
baseline_pool_l,lgbm328,2022-02-16,lgbm328,-710.139853,-11.437493628945163
baseline_pool_l,lgbm328,2022-02-17,lgbm328,-650.046385,7.866584451237827
baseline_pool_l,lgbm328,2022-02-18,lgbm328,-501.904141,40.82532034452572
baseline_pool_l,lgbm328,2022-02-21,lgbm328,-495.115958,62.24297644479759
baseline_pool_l,lgbm328,2022-02-22,lgbm328,-392.062955,100.58544349910522
baseline_pool_l,lgbm328,2022-02-23,lgbm328,-395.082902,154.06770247505995
baseline_pool_l,lgbm328,2022-02-24,lgbm328,-425.319004,177.7434259320916
baseline_pool_l,lgbm328,2022-02-25,lgbm328,-417.703495,192.22942791174603
baseline_pool_l,lgbm328,2022-02-28,lgbm328,-343.924362,198.45714710722768
baseline_pool_l,lgbm328,2022-03-01,lgbm328,-344.728303,161.24885672937012
baseline_pool_l,lgbm328,2022-03-02,lgbm328,-319.355354,173.4424542774048
baseline_pool_l,lgbm328,2022-03-03,lgbm328,-402.799913,173.38713123228467
baseline_pool_l,lgbm328,2022-03-04,lgbm328,-510.441592,175.55171336134993
baseline_pool_l,lgbm328,2022-03-07,lgbm328,-727.198898,159.21251023808088
baseline_pool_l,lgbm328,2022-03-08,lgbm328,-865.515379,208.6416320473686
baseline_pool_l,lgbm328,2022-03-09,lgbm328,-727.323065,321.5829353174356
baseline_pool_l,lgbm328,2022-03-10,lgbm328,-673.222454,337.68223752464803
baseline_pool_l,lgbm328,2022-03-11,lgbm328,-683.390365,333.94005793013866
baseline_pool_l,lgbm328,2022-03-14,lgbm328,-978.845603,390.6592053465504
baseline_pool_l,lgbm328,2022-03-15,lgbm328,-967.194202,441.5695584750954
baseline_pool_l,lgbm328,2022-03-16,lgbm328,-710.290623,482.34363372236703
baseline_pool_l,lgbm328,2022-03-17,lgbm328,-639.695998,473.99142742062827
baseline_pool_l,lgbm328,2022-03-18,lgbm328,-505.045085,486.8320031313713
baseline_pool_l,lgbm328,2022-03-21,lgbm328,-479.760594,479.8667349425847
baseline_pool_l,lgbm328,2022-03-22,lgbm328,-467.770723,447.2539149855882
baseline_pool_l,lgbm328,2022-03-23,lgbm328,-520.428859,434.5098279360875
baseline_pool_l,lgbm328,2022-03-24,lgbm328,-563.735932,424.288474322992
baseline_pool_l,lgbm328,2022-03-25,lgbm328,-676.918816,373.3503105752345
baseline_pool_l,lgbm328,2022-03-28,lgbm328,-688.036383,381.85284029751665
baseline_pool_l,lgbm328,2022-03-29,lgbm328,-656.261542,394.5514865460766
baseline_pool_l,lgbm328,2022-03-30,lgbm328,-605.642389,390.599564864684
baseline_pool_l,lgbm328,2022-03-31,lgbm328,-641.030312,365.03866408641727
baseline_pool_l,lgbm328,2022-04-01,lgbm328,-600.709425,336.8566426273077
baseline_pool_l,lgbm328,2022-04-06,lgbm328,-687.974069,325.4045252043122
baseline_pool_l,lgbm328,2022-04-07,lgbm328,-804.442721,333.8159443992788
baseline_pool_l,lgbm328,2022-04-08,lgbm328,-942.699530,386.35497030487
baseline_pool_l,lgbm328,2022-04-11,lgbm328,-957.095849,397.8321552638097
baseline_pool_l,lgbm328,2022-04-12,lgbm328,-978.643917,385.2530342250352
baseline_pool_l,lgbm328,2022-04-13,lgbm328,-945.707405,414.07764543886765
