test_month,variant,pool,pool_label,short_rank_ic,short_internal_excess_bps
2022Q1,09:31-09:40,baseline,09:31-09:40,0.176678,17.654142
2022Q1,10:01-10:10,w1001_1010,10:01-10:10,0.229544,8.064942
2022Q2,09:31-09:40,baseline,09:31-09:40,0.186907,18.948511
2022Q2,10:01-10:10,w1001_1010,10:01-10:10,0.239376,9.047605
2022Q3,09:31-09:40,baseline,09:31-09:40,0.170270,16.226301
2022Q3,10:01-10:10,w1001_1010,10:01-10:10,0.258067,9.835851
2022Q4,09:31-09:40,baseline,09:31-09:40,0.159338,11.697812
2022Q4,10:01-10:10,w1001_1010,10:01-10:10,0.252558,8.639590
2023Q1,09:31-09:40,baseline,09:31-09:40,0.172038,11.025676
2023Q1,10:01-10:10,w1001_1010,10:01-10:10,0.279570,8.374800
2023Q2,09:31-09:40,baseline,09:31-09:40,0.156466,13.726434
2023Q2,10:01-10:10,w1001_1010,10:01-10:10,0.241797,9.284887
2023Q3,09:31-09:40,baseline,09:31-09:40,0.154950,8.853374
2023Q3,10:01-10:10,w1001_1010,10:01-10:10,0.244348,6.447146
2023Q4,09:31-09:40,baseline,09:31-09:40,0.153155,8.609569
2023Q4,10:01-10:10,w1001_1010,10:01-10:10,0.265709,6.622529
2024Q1,09:31-09:40,baseline,09:31-09:40,0.151263,12.540467
2024Q1,10:01-10:10,w1001_1010,10:01-10:10,0.253586,8.273909
2024Q2,09:31-09:40,baseline,09:31-09:40,0.162975,11.608069
2024Q2,10:01-10:10,w1001_1010,10:01-10:10,0.278433,8.205760
2024Q3,09:31-09:40,baseline,09:31-09:40,0.190688,10.642462
2024Q3,10:01-10:10,w1001_1010,10:01-10:10,0.295240,7.934148
2024Q4,09:31-09:40,baseline,09:31-09:40,0.135062,12.260511
2024Q4,10:01-10:10,w1001_1010,10:01-10:10,0.231688,9.045360
2025Q1,09:31-09:40,baseline,09:31-09:40,0.131137,8.329857
2025Q1,10:01-10:10,w1001_1010,10:01-10:10,0.255380,7.088395
2025Q2,09:31-09:40,baseline,09:31-09:40,0.132097,5.463078
2025Q2,10:01-10:10,w1001_1010,10:01-10:10,0.268963,6.254093
2025Q3,09:31-09:40,baseline,09:31-09:40,0.141072,8.436481
2025Q3,10:01-10:10,w1001_1010,10:01-10:10,0.236180,5.543889
2025Q4,09:31-09:40,baseline,09:31-09:40,0.127264,6.365150
2025Q4,10:01-10:10,w1001_1010,10:01-10:10,0.218655,4.300293
Mean,09:31-09:40,baseline,09:31-09:40,0.156335,11.399243
Mean,10:01-10:10,w1001_1010,10:01-10:10,0.253068,7.685200
