pool,pool_label,week_start,variant,next_cumulative_net_return_bps,next_cumulative_alpha_vs_market_bps
baseline_pool_l,09:31-09:40,2022-01-04,09:31-09:40,-73.072153,-33.47742429508477
baseline_pool_l,09:31-09:40,2022-01-05,09:31-09:40,-74.204376,-23.02479137848485
baseline_pool_l,09:31-09:40,2022-01-06,09:31-09:40,-101.533510,-16.426671324349286
baseline_pool_l,09:31-09:40,2022-01-07,09:31-09:40,-141.181808,-3.7612922251636576
baseline_pool_l,09:31-09:40,2022-01-10,09:31-09:40,-65.892741,35.184682025038725
baseline_pool_l,09:31-09:40,2022-01-11,09:31-09:40,-39.477184,43.04999092680828
baseline_pool_l,09:31-09:40,2022-01-12,09:31-09:40,-47.152301,40.80370848599971
baseline_pool_l,09:31-09:40,2022-01-13,09:31-09:40,-93.897507,58.35616733497851
baseline_pool_l,09:31-09:40,2022-01-14,09:31-09:40,33.827324,118.5358993571688
baseline_pool_l,09:31-09:40,2022-01-17,09:31-09:40,43.303650,142.51129456464898
baseline_pool_l,09:31-09:40,2022-01-18,09:31-09:40,-30.409242,119.08726334891347
baseline_pool_l,09:31-09:40,2022-01-19,09:31-09:40,-147.670283,119.38787235735163
baseline_pool_l,09:31-09:40,2022-01-20,09:31-09:40,-344.864965,88.18964157158683
baseline_pool_l,09:31-09:40,2022-01-21,09:31-09:40,-406.410943,91.24027585681768
baseline_pool_l,09:31-09:40,2022-01-24,09:31-09:40,-555.766647,133.99494195486523
baseline_pool_l,09:31-09:40,2022-01-25,09:31-09:40,-716.515577,137.65380311566628
baseline_pool_l,09:31-09:40,2022-01-26,09:31-09:40,-909.898236,122.98007897206935
baseline_pool_l,09:31-09:40,2022-01-27,09:31-09:40,-1029.726779,88.40325417571489
baseline_pool_l,09:31-09:40,2022-01-28,09:31-09:40,-927.173384,105.77744469175593
baseline_pool_l,09:31-09:40,2022-02-07,09:31-09:40,-788.545026,161.21035692460782
baseline_pool_l,09:31-09:40,2022-02-08,09:31-09:40,-606.433848,195.80659527175658
baseline_pool_l,09:31-09:40,2022-02-09,09:31-09:40,-502.744580,253.44303871474517
baseline_pool_l,09:31-09:40,2022-02-10,09:31-09:40,-567.280720,299.22268816163273
baseline_pool_l,09:31-09:40,2022-02-11,09:31-09:40,-637.865217,308.75076247030563
baseline_pool_l,09:31-09:40,2022-02-14,09:31-09:40,-569.883285,348.29912799664396
baseline_pool_l,09:31-09:40,2022-02-15,09:31-09:40,-446.652995,385.28208779345925
baseline_pool_l,09:31-09:40,2022-02-16,09:31-09:40,-401.020691,409.887816608785
baseline_pool_l,09:31-09:40,2022-02-17,09:31-09:40,-352.209889,422.5535877568324
baseline_pool_l,09:31-09:40,2022-02-18,09:31-09:40,-157.508453,498.73635035249663
baseline_pool_l,09:31-09:40,2022-02-21,09:31-09:40,-132.619279,533.4325535748453
baseline_pool_l,09:31-09:40,2022-02-22,09:31-09:40,-47.512185,562.7503193508817
baseline_pool_l,09:31-09:40,2022-02-23,09:31-09:40,-71.410995,600.3746630880418
baseline_pool_l,09:31-09:40,2022-02-24,09:31-09:40,-107.117634,629.3308935157927
baseline_pool_l,09:31-09:40,2022-02-25,09:31-09:40,-106.600769,645.2418925324055
baseline_pool_l,09:31-09:40,2022-02-28,09:31-09:40,-6.238861,686.2256518233125
baseline_pool_l,09:31-09:40,2022-03-01,09:31-09:40,18.807104,673.0224368210403
baseline_pool_l,09:31-09:40,2022-03-02,09:31-09:40,62.446581,695.3416305501433
baseline_pool_l,09:31-09:40,2022-03-03,09:31-09:40,-3.870886,712.0555141600555
baseline_pool_l,09:31-09:40,2022-03-04,09:31-09:40,-64.362324,763.4423899847275
baseline_pool_l,09:31-09:40,2022-03-07,09:31-09:40,-253.062042,777.3226715357061
baseline_pool_l,09:31-09:40,2022-03-08,09:31-09:40,-377.118379,838.939304739354
baseline_pool_l,09:31-09:40,2022-03-09,09:31-09:40,-255.813314,940.8343573966985
baseline_pool_l,09:31-09:40,2022-03-10,09:31-09:40,-196.729180,968.603150542144
baseline_pool_l,09:31-09:40,2022-03-11,09:31-09:40,-193.117967,986.7224888477299
baseline_pool_l,09:31-09:40,2022-03-14,09:31-09:40,-481.594844,1042.2293166861832
baseline_pool_l,09:31-09:40,2022-03-15,09:31-09:40,-477.570431,1092.8068253252957
baseline_pool_l,09:31-09:40,2022-03-16,09:31-09:40,-223.968158,1147.0602540048212
baseline_pool_l,09:31-09:40,2022-03-17,09:31-09:40,-149.146989,1143.2975396616134
baseline_pool_l,09:31-09:40,2022-03-18,09:31-09:40,-7.452466,1157.7051518923258
baseline_pool_l,09:31-09:40,2022-03-21,09:31-09:40,46.604627,1186.6064036277892
baseline_pool_l,09:31-09:40,2022-03-22,09:31-09:40,46.526640,1161.6903385705461
baseline_pool_l,09:31-09:40,2022-03-23,09:31-09:40,-16.847740,1145.3648395423072
baseline_pool_l,09:31-09:40,2022-03-24,09:31-09:40,-47.763880,1155.039290179426
baseline_pool_l,09:31-09:40,2022-03-25,09:31-09:40,-146.852833,1120.6130185174277
baseline_pool_l,09:31-09:40,2022-03-28,09:31-09:40,-168.864732,1118.4777244125742
baseline_pool_l,09:31-09:40,2022-03-29,09:31-09:40,-149.424043,1117.394468079687
baseline_pool_l,09:31-09:40,2022-03-30,09:31-09:40,-83.017779,1128.5352669445283
baseline_pool_l,09:31-09:40,2022-03-31,09:31-09:40,-127.547255,1102.013059532367
baseline_pool_l,09:31-09:40,2022-04-01,09:31-09:40,-63.505667,1094.828816421055
baseline_pool_l,09:31-09:40,2022-04-06,09:31-09:40,-136.581718,1098.7314023467022
baseline_pool_l,09:31-09:40,2022-04-07,09:31-09:40,-254.261512,1103.261006374186
baseline_pool_l,09:31-09:40,2022-04-08,09:31-09:40,-394.042249,1143.7883484950655
