score_bucket,lower_bps,observations,rank_start,rank_end,upper_bps,midpoint_bps,interval,share_within_score_bucket
1,-5300,0,1,100,-5200,-5250.0,"[-5300, -5200)",0.0
1,-5200,1,1,100,-5100,-5150.0,"[-5200, -5100)",1.032204789430223e-06
1,-5100,1,1,100,-5000,-5050.0,"[-5100, -5000)",1.032204789430223e-06
1,-5000,1,1,100,-4900,-4950.0,"[-5000, -4900)",1.032204789430223e-06
1,-4900,1,1,100,-4800,-4850.0,"[-4900, -4800)",1.032204789430223e-06
1,-4800,1,1,100,-4700,-4750.0,"[-4800, -4700)",1.032204789430223e-06
1,-4700,4,1,100,-4600,-4650.0,"[-4700, -4600)",4.128819157720892e-06
1,-4600,6,1,100,-4500,-4550.0,"[-4600, -4500)",6.193228736581338e-06
1,-4500,8,1,100,-4400,-4450.0,"[-4500, -4400)",8.257638315441784e-06
1,-4400,7,1,100,-4300,-4350.0,"[-4400, -4300)",7.2254335260115605e-06
1,-4300,3,1,100,-4200,-4250.0,"[-4300, -4200)",3.096614368290669e-06
1,-4200,9,1,100,-4100,-4150.0,"[-4200, -4100)",9.289843104872006e-06
1,-4100,2,1,100,-4000,-4050.0,"[-4100, -4000)",2.064409578860446e-06
1,-4000,5,1,100,-3900,-3950.0,"[-4000, -3900)",5.161023947151115e-06
1,-3900,1,1,100,-3800,-3850.0,"[-3900, -3800)",1.032204789430223e-06
1,-3800,5,1,100,-3700,-3750.0,"[-3800, -3700)",5.161023947151115e-06
1,-3700,15,1,100,-3600,-3650.0,"[-3700, -3600)",1.5483071841453343e-05
1,-3600,9,1,100,-3500,-3550.0,"[-3600, -3500)",9.289843104872006e-06
1,-3500,22,1,100,-3400,-3450.0,"[-3500, -3400)",2.2708505367464903e-05
1,-3400,16,1,100,-3300,-3350.0,"[-3400, -3300)",1.6515276630883568e-05
1,-3300,15,1,100,-3200,-3250.0,"[-3300, -3200)",1.5483071841453343e-05
1,-3200,23,1,100,-3100,-3150.0,"[-3200, -3100)",2.374071015689513e-05
1,-3100,44,1,100,-3000,-3050.0,"[-3100, -3000)",4.541701073492981e-05
1,-3000,30,1,100,-2900,-2950.0,"[-3000, -2900)",3.0966143682906686e-05
1,-2900,36,1,100,-2800,-2850.0,"[-2900, -2800)",3.7159372419488024e-05
1,-2800,32,1,100,-2700,-2750.0,"[-2800, -2700)",3.3030553261767136e-05
1,-2700,29,1,100,-2600,-2650.0,"[-2700, -2600)",2.9933938893476467e-05
1,-2600,25,1,100,-2500,-2550.0,"[-2600, -2500)",2.5805119735755573e-05
1,-2500,34,1,100,-2400,-2450.0,"[-2500, -2400)",3.509496284062758e-05
1,-2400,36,1,100,-2300,-2350.0,"[-2400, -2300)",3.7159372419488024e-05
1,-2300,28,1,100,-2200,-2250.0,"[-2300, -2200)",2.8901734104046242e-05
1,-2200,45,1,100,-2100,-2150.0,"[-2200, -2100)",4.644921552436003e-05
1,-2100,29,1,100,-2000,-2050.0,"[-2100, -2000)",2.9933938893476467e-05
1,-2000,47,1,100,-1900,-1950.0,"[-2000, -1900)",4.8513625103220476e-05
1,-1900,77,1,100,-1800,-1850.0,"[-1900, -1800)",7.947976878612717e-05
1,-1800,127,1,100,-1700,-1750.0,"[-1800, -1700)",0.00013109000825763833
1,-1700,183,1,100,-1600,-1650.0,"[-1700, -1600)",0.0001888934764657308
1,-1600,261,1,100,-1500,-1550.0,"[-1600, -1500)",0.0002694054500412882
1,-1500,321,1,100,-1400,-1450.0,"[-1500, -1400)",0.00033133773740710154
1,-1400,499,1,100,-1300,-1350.0,"[-1400, -1300)",0.0005150701899256813
1,-1300,765,1,100,-1200,-1250.0,"[-1300, -1200)",0.0007896366639141205
1,-1200,1216,1,100,-1100,-1150.0,"[-1200, -1100)",0.0012551610239471512
1,-1100,1775,1,100,-1000,-1050.0,"[-1100, -1000)",0.0018321635012386458
1,-1000,2748,1,100,-900,-950.0,"[-1000, -900)",0.002836498761354253
1,-900,4558,1,100,-800,-850.0,"[-900, -800)",0.004704789430222956
1,-800,7232,1,100,-700,-750.0,"[-800, -700)",0.007464905037159373
1,-700,12435,1,100,-600,-650.0,"[-700, -600)",0.012835466556564822
1,-600,21325,1,100,-500,-550.0,"[-600, -500)",0.022011767134599503
1,-500,36695,1,100,-400,-450.0,"[-500, -400)",0.03787675474814203
1,-400,62221,1,100,-300,-350.0,"[-400, -300)",0.0642248142031379
1,-300,99213,1,100,-200,-250.0,"[-300, -200)",0.10240813377374071
1,-200,139079,1,100,-100,-150.0,"[-200, -100)",0.14355800990916598
1,-100,152913,1,100,0,-50.0,"[-100, 0)",0.1578375309661437
1,0,126782,1,100,100,50.0,"[0, 100)",0.13086498761354254
1,100,87703,1,100,200,150.0,"[100, 200)",0.09052745664739885
1,200,58767,1,100,300,250.0,"[200, 300)",0.060659578860445915
1,300,39304,1,100,400,350.0,"[300, 400)",0.040569777043765486
1,400,27394,1,100,500,450.0,"[400, 500)",0.02827621800165153
1,500,19649,1,100,600,550.0,"[500, 600)",0.02028179190751445
1,600,14522,1,100,700,650.0,"[600, 700)",0.014989677952105698
1,700,10830,1,100,800,750.0,"[700, 800)",0.011178777869529314
1,800,8687,1,100,900,850.0,"[800, 900)",0.008966763005780348
1,900,6634,1,100,1000,950.0,"[900, 1000)",0.006847646573080099
1,1000,5197,1,100,1100,1050.0,"[1000, 1100)",0.005364368290668869
1,1100,3874,1,100,1200,1150.0,"[1100, 1200)",0.003998761354252684
1,1200,2984,1,100,1300,1250.0,"[1200, 1300)",0.0030800990916597854
1,1300,2287,1,100,1400,1350.0,"[1300, 1400)",0.00236065235342692
1,1400,1799,1,100,1500,1450.0,"[1400, 1500)",0.001856936416184971
1,1500,1480,1,100,1600,1550.0,"[1500, 1600)",0.00152766308835673
1,1600,1189,1,100,1700,1650.0,"[1600, 1700)",0.0012272914946325352
1,1700,989,1,100,1800,1750.0,"[1700, 1800)",0.0010208505367464906
1,1800,942,1,100,1900,1850.0,"[1800, 1900)",0.0009723369116432701
1,1900,769,1,100,2000,1950.0,"[1900, 2000)",0.0007937654830718414
1,2000,635,1,100,2100,2050.0,"[2000, 2100)",0.0006554500412881915
1,2100,457,1,100,2200,2150.0,"[2100, 2200)",0.00047171758876961186
1,2200,382,1,100,2300,2250.0,"[2200, 2300)",0.0003943022295623452
1,2300,296,1,100,2400,2350.0,"[2300, 2400)",0.000305532617671346
1,2400,191,1,100,2500,2450.0,"[2400, 2500)",0.0001971511147811726
1,2500,165,1,100,2600,2550.0,"[2500, 2600)",0.0001703137902559868
1,2600,118,1,100,2700,2650.0,"[2600, 2700)",0.0001218001651527663
1,2700,96,1,100,2800,2750.0,"[2700, 2800)",9.90916597853014e-05
1,2800,74,1,100,2900,2850.0,"[2800, 2900)",7.63831544178365e-05
1,2900,80,1,100,3000,2950.0,"[2900, 3000)",8.257638315441784e-05
1,3000,53,1,100,3100,3050.0,"[3000, 3100)",5.4706853839801815e-05
1,3100,46,1,100,3200,3150.0,"[3100, 3200)",4.748142031379026e-05
1,3200,30,1,100,3300,3250.0,"[3200, 3300)",3.0966143682906686e-05
1,3300,27,1,100,3400,3350.0,"[3300, 3400)",2.786952931461602e-05
1,3400,24,1,100,3500,3450.0,"[3400, 3500)",2.477291494632535e-05
1,3500,27,1,100,3600,3550.0,"[3500, 3600)",2.786952931461602e-05
1,3600,13,1,100,3700,3650.0,"[3600, 3700)",1.3418662262592899e-05
1,3700,21,1,100,3800,3750.0,"[3700, 3800)",2.167630057803468e-05
1,3800,14,1,100,3900,3850.0,"[3800, 3900)",1.4450867052023121e-05
1,3900,17,1,100,4000,3950.0,"[3900, 4000)",1.754748142031379e-05
1,4000,14,1,100,4100,4050.0,"[4000, 4100)",1.4450867052023121e-05
1,4100,4,1,100,4200,4150.0,"[4100, 4200)",4.128819157720892e-06
1,4200,8,1,100,4300,4250.0,"[4200, 4300)",8.257638315441784e-06
1,4300,2,1,100,4400,4350.0,"[4300, 4400)",2.064409578860446e-06
1,4400,2,1,100,4500,4450.0,"[4400, 4500)",2.064409578860446e-06
1,4500,1,1,100,4600,4550.0,"[4500, 4600)",1.032204789430223e-06
1,4600,2,1,100,4700,4650.0,"[4600, 4700)",2.064409578860446e-06
1,4700,1,1,100,4800,4750.0,"[4700, 4800)",1.032204789430223e-06
1,4800,3,1,100,4900,4850.0,"[4800, 4900)",3.096614368290669e-06
1,4900,1,1,100,5000,4950.0,"[4900, 5000)",1.032204789430223e-06
1,5000,0,1,100,5100,5050.0,"[5000, 5100)",0.0
1,5100,0,1,100,5200,5150.0,"[5100, 5200)",0.0
1,5200,0,1,100,5300,5250.0,"[5200, 5300)",0.0
1,5300,1,1,100,5400,5350.0,"[5300, 5400)",1.032204789430223e-06
2,-5300,3,101,200,-5200,-5250.0,"[-5300, -5200)",3.096614368290669e-06
2,-5200,2,101,200,-5100,-5150.0,"[-5200, -5100)",2.064409578860446e-06
2,-5100,4,101,200,-5000,-5050.0,"[-5100, -5000)",4.128819157720892e-06
2,-5000,2,101,200,-4900,-4950.0,"[-5000, -4900)",2.064409578860446e-06
2,-4900,1,101,200,-4800,-4850.0,"[-4900, -4800)",1.032204789430223e-06
2,-4800,0,101,200,-4700,-4750.0,"[-4800, -4700)",0.0
2,-4700,3,101,200,-4600,-4650.0,"[-4700, -4600)",3.096614368290669e-06
2,-4600,3,101,200,-4500,-4550.0,"[-4600, -4500)",3.096614368290669e-06
2,-4500,7,101,200,-4400,-4450.0,"[-4500, -4400)",7.2254335260115605e-06
2,-4400,9,101,200,-4300,-4350.0,"[-4400, -4300)",9.289843104872006e-06
2,-4300,2,101,200,-4200,-4250.0,"[-4300, -4200)",2.064409578860446e-06
2,-4200,0,101,200,-4100,-4150.0,"[-4200, -4100)",0.0
2,-4100,4,101,200,-4000,-4050.0,"[-4100, -4000)",4.128819157720892e-06
2,-4000,6,101,200,-3900,-3950.0,"[-4000, -3900)",6.193228736581338e-06
2,-3900,6,101,200,-3800,-3850.0,"[-3900, -3800)",6.193228736581338e-06
2,-3800,5,101,200,-3700,-3750.0,"[-3800, -3700)",5.161023947151115e-06
2,-3700,9,101,200,-3600,-3650.0,"[-3700, -3600)",9.289843104872006e-06
2,-3600,9,101,200,-3500,-3550.0,"[-3600, -3500)",9.289843104872006e-06
2,-3500,28,101,200,-3400,-3450.0,"[-3500, -3400)",2.8901734104046242e-05
2,-3400,11,101,200,-3300,-3350.0,"[-3400, -3300)",1.1354252683732452e-05
2,-3300,19,101,200,-3200,-3250.0,"[-3300, -3200)",1.9611890999174238e-05
2,-3200,27,101,200,-3100,-3150.0,"[-3200, -3100)",2.786952931461602e-05
2,-3100,50,101,200,-3000,-3050.0,"[-3100, -3000)",5.1610239471511145e-05
2,-3000,53,101,200,-2900,-2950.0,"[-3000, -2900)",5.4706853839801815e-05
2,-2900,45,101,200,-2800,-2850.0,"[-2900, -2800)",4.644921552436003e-05
2,-2800,27,101,200,-2700,-2750.0,"[-2800, -2700)",2.786952931461602e-05
2,-2700,25,101,200,-2600,-2650.0,"[-2700, -2600)",2.5805119735755573e-05
2,-2600,23,101,200,-2500,-2550.0,"[-2600, -2500)",2.374071015689513e-05
2,-2500,48,101,200,-2400,-2450.0,"[-2500, -2400)",4.95458298926507e-05
2,-2400,21,101,200,-2300,-2350.0,"[-2400, -2300)",2.167630057803468e-05
2,-2300,16,101,200,-2200,-2250.0,"[-2300, -2200)",1.6515276630883568e-05
2,-2200,30,101,200,-2100,-2150.0,"[-2200, -2100)",3.0966143682906686e-05
2,-2100,22,101,200,-2000,-2050.0,"[-2100, -2000)",2.2708505367464903e-05
2,-2000,23,101,200,-1900,-1950.0,"[-2000, -1900)",2.374071015689513e-05
2,-1900,32,101,200,-1800,-1850.0,"[-1900, -1800)",3.3030553261767136e-05
2,-1800,49,101,200,-1700,-1750.0,"[-1800, -1700)",5.057803468208093e-05
2,-1700,87,101,200,-1600,-1650.0,"[-1700, -1600)",8.98018166804294e-05
2,-1600,103,101,200,-1500,-1550.0,"[-1600, -1500)",0.00010631709331131296
2,-1500,131,101,200,-1400,-1450.0,"[-1500, -1400)",0.0001352188274153592
2,-1400,185,101,200,-1300,-1350.0,"[-1400, -1300)",0.00019095788604459125
2,-1300,312,101,200,-1200,-1250.0,"[-1300, -1200)",0.00032204789430222955
2,-1200,528,101,200,-1100,-1150.0,"[-1200, -1100)",0.0005450041288191577
2,-1100,786,101,200,-1000,-1050.0,"[-1100, -1000)",0.0008113129644921552
2,-1000,1200,101,200,-900,-950.0,"[-1000, -900)",0.0012386457473162675
2,-900,1987,101,200,-800,-850.0,"[-900, -800)",0.002050990916597853
2,-800,3529,101,200,-700,-750.0,"[-800, -700)",0.003642650701899257
2,-700,6187,101,200,-600,-650.0,"[-700, -600)",0.006386251032204789
2,-600,12157,101,200,-500,-550.0,"[-600, -500)",0.01254851362510322
2,-500,24340,101,200,-400,-450.0,"[-500, -400)",0.025123864574731626
2,-400,49481,101,200,-300,-350.0,"[-400, -300)",0.05107452518579686
2,-300,94286,101,200,-200,-250.0,"[-300, -200)",0.097322460776218
2,-200,156464,101,200,-100,-150.0,"[-200, -100)",0.1615028901734104
