score_bucket,rank_start,rank_end,observations,mean_excess_bps,median_excess_bps,positive_rate,positive_4000_count,negative_4000_count
1,1,100,968800,6.547755919664623,-39.93619081876949,0.43826073492981005,39,44
2,101,200,968800,2.954305220798058,-29.98607565421217,0.44215937241948805,11,40
3,201,300,968800,1.397646693767027,-27.606951942673398,0.44284269199009085,15,38
4,301,400,968800,0.5262231158806285,-27.511925221037583,0.4410569777043766,10,41
5,401,500,968800,0.05697832078558669,-27.130720036437797,0.4406864161849711,8,35
6,501,600,968800,0.08460926445427301,-26.391784752330036,0.4413418662262593,8,33
7,601,700,968800,0.7211914158940971,-26.136575728801418,0.44166804293971923,15,21
8,701,800,968800,0.36296330930757326,-26.153397357210928,0.4410786540049546,11,25
9,801,900,968800,0.4770906282546928,-26.416787301704176,0.4395974401321222,15,22
10,901,1000,968800,0.9869468889630629,-25.941700477372507,0.44036127167630057,9,18
