test_month,variant,pool,pool_label,short_rank_ic,next_internal_excess_bps
2022Q1,v4 forward-5s,baseline,v4 forward-5s,0.176678,37.448758
2022Q1,v6 clock-state,v6_clock_state,v6 clock-state,0.179265,38.274578
2022Q2,v4 forward-5s,baseline,v4 forward-5s,0.186907,18.154422
2022Q2,v6 clock-state,v6_clock_state,v6 clock-state,0.188854,14.277858
2022Q3,v4 forward-5s,baseline,v4 forward-5s,0.170270,14.070785
2022Q3,v6 clock-state,v6_clock_state,v6 clock-state,0.171520,15.221840
2022Q4,v4 forward-5s,baseline,v4 forward-5s,0.159338,4.255096
2022Q4,v6 clock-state,v6_clock_state,v6 clock-state,0.162691,6.601056
2023Q1,v4 forward-5s,baseline,v4 forward-5s,0.172038,21.716678
2023Q1,v6 clock-state,v6_clock_state,v6 clock-state,0.172262,24.859275
2023Q2,v4 forward-5s,baseline,v4 forward-5s,0.156466,44.769835
2023Q2,v6 clock-state,v6_clock_state,v6 clock-state,0.159143,46.210997
2023Q3,v4 forward-5s,baseline,v4 forward-5s,0.154950,11.335653
2023Q3,v6 clock-state,v6_clock_state,v6 clock-state,0.158860,11.950119
2023Q4,v4 forward-5s,baseline,v4 forward-5s,0.153155,8.660974
2023Q4,v6 clock-state,v6_clock_state,v6 clock-state,0.156415,8.063103
2024Q1,v4 forward-5s,baseline,v4 forward-5s,0.151263,25.445676
2024Q1,v6 clock-state,v6_clock_state,v6 clock-state,0.153125,25.801211
2024Q2,v4 forward-5s,baseline,v4 forward-5s,0.162975,12.666222
2024Q2,v6 clock-state,v6_clock_state,v6 clock-state,0.165864,16.856222
2024Q3,v4 forward-5s,baseline,v4 forward-5s,0.190688,4.110261
2024Q3,v6 clock-state,v6_clock_state,v6 clock-state,0.191852,2.438905
2024Q4,v4 forward-5s,baseline,v4 forward-5s,0.135062,16.562424
2024Q4,v6 clock-state,v6_clock_state,v6 clock-state,0.137959,19.876369
2025Q1,v4 forward-5s,baseline,v4 forward-5s,0.131137,19.158739
2025Q1,v6 clock-state,v6_clock_state,v6 clock-state,0.134788,19.985434
2025Q2,v4 forward-5s,baseline,v4 forward-5s,0.132097,10.542213
2025Q2,v6 clock-state,v6_clock_state,v6 clock-state,0.137647,9.366150
2025Q3,v4 forward-5s,baseline,v4 forward-5s,0.141072,18.831628
2025Q3,v6 clock-state,v6_clock_state,v6 clock-state,0.136916,18.659814
2025Q4,v4 forward-5s,baseline,v4 forward-5s,0.127264,9.903491
2025Q4,v6 clock-state,v6_clock_state,v6 clock-state,0.125457,9.333204
Mean,v4 forward-5s,baseline,v4 forward-5s,0.156335,17.352053
Mean,v6 clock-state,v6_clock_state,v6 clock-state,0.158289,17.986008
