score_bucket,lower_bps,observations,rank_start,rank_end,upper_bps,midpoint_bps,interval,share_within_score_bucket
1,-5400,1,1,100,-5300,-5350.0,"[-5400, -5300)",1.0319917440660475e-06
1,-5300,0,1,100,-5200,-5250.0,"[-5300, -5200)",0.0
1,-5200,0,1,100,-5100,-5150.0,"[-5200, -5100)",0.0
1,-5100,0,1,100,-5000,-5050.0,"[-5100, -5000)",0.0
1,-5000,0,1,100,-4900,-4950.0,"[-5000, -4900)",0.0
1,-4900,0,1,100,-4800,-4850.0,"[-4900, -4800)",0.0
1,-4800,1,1,100,-4700,-4750.0,"[-4800, -4700)",1.0319917440660475e-06
1,-4700,2,1,100,-4600,-4650.0,"[-4700, -4600)",2.063983488132095e-06
1,-4600,1,1,100,-4500,-4550.0,"[-4600, -4500)",1.0319917440660475e-06
1,-4500,2,1,100,-4400,-4450.0,"[-4500, -4400)",2.063983488132095e-06
1,-4400,1,1,100,-4300,-4350.0,"[-4400, -4300)",1.0319917440660475e-06
1,-4300,2,1,100,-4200,-4250.0,"[-4300, -4200)",2.063983488132095e-06
1,-4200,5,1,100,-4100,-4150.0,"[-4200, -4100)",5.159958720330238e-06
1,-4100,5,1,100,-4000,-4050.0,"[-4100, -4000)",5.159958720330238e-06
1,-4000,4,1,100,-3900,-3950.0,"[-4000, -3900)",4.12796697626419e-06
1,-3900,4,1,100,-3800,-3850.0,"[-3900, -3800)",4.12796697626419e-06
1,-3800,6,1,100,-3700,-3750.0,"[-3800, -3700)",6.191950464396284e-06
1,-3700,6,1,100,-3600,-3650.0,"[-3700, -3600)",6.191950464396284e-06
1,-3600,9,1,100,-3500,-3550.0,"[-3600, -3500)",9.287925696594427e-06
1,-3500,8,1,100,-3400,-3450.0,"[-3500, -3400)",8.25593395252838e-06
1,-3400,10,1,100,-3300,-3350.0,"[-3400, -3300)",1.0319917440660475e-05
1,-3300,7,1,100,-3200,-3250.0,"[-3300, -3200)",7.223942208462332e-06
1,-3200,15,1,100,-3100,-3150.0,"[-3200, -3100)",1.5479876160990712e-05
1,-3100,29,1,100,-3000,-3050.0,"[-3100, -3000)",2.9927760577915376e-05
1,-3000,44,1,100,-2900,-2950.0,"[-3000, -2900)",4.540763673890609e-05
1,-2900,13,1,100,-2800,-2850.0,"[-2900, -2800)",1.3415892672858617e-05
1,-2800,12,1,100,-2700,-2750.0,"[-2800, -2700)",1.2383900928792569e-05
1,-2700,18,1,100,-2600,-2650.0,"[-2700, -2600)",1.8575851393188854e-05
1,-2600,19,1,100,-2500,-2550.0,"[-2600, -2500)",1.9607843137254903e-05
1,-2500,27,1,100,-2400,-2450.0,"[-2500, -2400)",2.7863777089783283e-05
1,-2400,29,1,100,-2300,-2350.0,"[-2400, -2300)",2.9927760577915376e-05
1,-2300,33,1,100,-2200,-2250.0,"[-2300, -2200)",3.4055727554179566e-05
1,-2200,62,1,100,-2100,-2150.0,"[-2200, -2100)",6.398348813209494e-05
1,-2100,83,1,100,-2000,-2050.0,"[-2100, -2000)",8.565531475748194e-05
1,-2000,94,1,100,-1900,-1950.0,"[-2000, -1900)",9.700722394220846e-05
1,-1900,146,1,100,-1800,-1850.0,"[-1900, -1800)",0.00015067079463364292
1,-1800,193,1,100,-1700,-1750.0,"[-1800, -1700)",0.00019917440660474717
1,-1700,262,1,100,-1600,-1650.0,"[-1700, -1600)",0.00027038183694530444
1,-1600,376,1,100,-1500,-1550.0,"[-1600, -1500)",0.00038802889576883384
1,-1500,494,1,100,-1400,-1450.0,"[-1500, -1400)",0.0005098039215686275
1,-1400,737,1,100,-1300,-1350.0,"[-1400, -1300)",0.000760577915376677
1,-1300,1208,1,100,-1200,-1250.0,"[-1300, -1200)",0.0012466460268317854
1,-1200,1881,1,100,-1100,-1150.0,"[-1200, -1100)",0.0019411764705882352
1,-1100,2775,1,100,-1000,-1050.0,"[-1100, -1000)",0.0028637770897832816
1,-1000,4241,1,100,-900,-950.0,"[-1000, -900)",0.004376676986584107
1,-900,6898,1,100,-800,-850.0,"[-900, -800)",0.007118679050567595
1,-800,10380,1,100,-700,-750.0,"[-800, -700)",0.010712074303405573
1,-700,16902,1,100,-600,-650.0,"[-700, -600)",0.017442724458204335
1,-600,27582,1,100,-500,-550.0,"[-600, -500)",0.028464396284829722
1,-500,45082,1,100,-400,-450.0,"[-500, -400)",0.04652425180598555
1,-400,70512,1,100,-300,-350.0,"[-400, -300)",0.07276780185758513
1,-300,100871,1,100,-200,-250.0,"[-300, -200)",0.10409803921568628
1,-200,124437,1,100,-100,-150.0,"[-200, -100)",0.12841795665634675
1,-100,125978,1,100,0,-50.0,"[-100, 0)",0.13000825593395252
1,0,105391,1,100,100,50.0,"[0, 100)",0.10876264189886481
1,100,79713,1,100,200,150.0,"[100, 200)",0.08226315789473684
1,200,58281,1,100,300,250.0,"[200, 300)",0.06014551083591331
1,300,41832,1,100,400,350.0,"[300, 400)",0.0431702786377709
1,400,31173,1,100,500,450.0,"[400, 500)",0.032170278637770895
1,500,22999,1,100,600,550.0,"[500, 600)",0.023734778121775026
1,600,17872,1,100,700,650.0,"[600, 700)",0.0184437564499484
1,700,13980,1,100,800,750.0,"[700, 800)",0.014427244582043343
1,800,11091,1,100,900,850.0,"[800, 900)",0.011445820433436532
1,900,8570,1,100,1000,950.0,"[900, 1000)",0.008844169246646027
1,1000,6912,1,100,1100,1050.0,"[1000, 1100)",0.00713312693498452
1,1100,5442,1,100,1200,1150.0,"[1100, 1200)",0.00561609907120743
1,1200,4412,1,100,1300,1250.0,"[1200, 1300)",0.004553147574819402
1,1300,3453,1,100,1400,1350.0,"[1300, 1400)",0.003563467492260062
1,1400,2835,1,100,1500,1450.0,"[1400, 1500)",0.0029256965944272446
1,1500,2445,1,100,1600,1550.0,"[1500, 1600)",0.002523219814241486
1,1600,2095,1,100,1700,1650.0,"[1600, 1700)",0.0021620227038183695
1,1700,1720,1,100,1800,1750.0,"[1700, 1800)",0.0017750257997936017
1,1800,1334,1,100,1900,1850.0,"[1800, 1900)",0.0013766769865841072
1,1900,1119,1,100,2000,1950.0,"[1900, 2000)",0.0011547987616099072
1,2000,911,1,100,2100,2050.0,"[2000, 2100)",0.0009401444788441692
1,2100,712,1,100,2200,2150.0,"[2100, 2200)",0.0007347781217750258
1,2200,614,1,100,2300,2250.0,"[2200, 2300)",0.0006336429308565531
1,2300,494,1,100,2400,2350.0,"[2300, 2400)",0.0005098039215686275
1,2400,421,1,100,2500,2450.0,"[2400, 2500)",0.000434468524251806
1,2500,283,1,100,2600,2550.0,"[2500, 2600)",0.0002920536635706914
1,2600,235,1,100,2700,2650.0,"[2600, 2700)",0.00024251805985552115
1,2700,169,1,100,2800,2750.0,"[2700, 2800)",0.000174406604747162
1,2800,151,1,100,2900,2850.0,"[2800, 2900)",0.00015583075335397318
1,2900,130,1,100,3000,2950.0,"[2900, 3000)",0.00013415892672858618
1,3000,90,1,100,3100,3050.0,"[3000, 3100)",9.287925696594427e-05
1,3100,100,1,100,3200,3150.0,"[3100, 3200)",0.00010319917440660474
1,3200,86,1,100,3300,3250.0,"[3200, 3300)",8.875128998968009e-05
1,3300,83,1,100,3400,3350.0,"[3300, 3400)",8.565531475748194e-05
1,3400,56,1,100,3500,3450.0,"[3400, 3500)",5.7791537667698656e-05
1,3500,59,1,100,3600,3550.0,"[3500, 3600)",6.08875128998968e-05
