score_bucket,rank_start,rank_end,observations,mean_excess_bps,median_excess_bps,positive_rate,positive_4000_count,negative_4000_count
1,1,100,969000,17.79335027416647,-46.349750283469,0.44116924664602686,79,20
2,101,200,969000,8.914202279082186,-34.84051536282497,0.44268214654282767,46,26
3,201,300,969000,5.635232330243341,-31.79138600587933,0.442593395252838,28,31
4,301,400,969000,3.9803489047478386,-30.232812921245444,0.4421940144478844,34,16
5,401,500,969000,2.0394866138939385,-29.266920241206826,0.44181011351909183,18,36
6,501,600,969000,1.959502736652878,-28.557993717501944,0.44164499484004127,30,20
7,601,700,969000,1.7044943022997936,-27.79108869346684,0.44197110423116615,23,24
8,701,800,969000,0.8912464010249677,-27.728232886837215,0.4409793601651187,27,25
9,801,900,969000,0.43447344120240694,-27.94270494728005,0.44014138286893706,20,17
10,901,1000,969000,0.4582284287974908,-27.541632395888875,0.44065221878224975,26,21
