case,window,label,short_ic,short_excess_bps,overnight_excess_bps
w0931_0940_h1m,09:31-09:40,1m,0.1606464004188513,11.87154,18.440190780293435
w0931_0940_h3m,09:31-09:40,3m,0.1076948152492202,12.714969,20.19459389945381
w0931_0940_h5m,09:31-09:40,5m,0.0880609956224308,13.526378,21.165968797987205
w0931_0940_h10m,09:31-09:40,10m,0.0659480284503621,14.969765,21.358742594840784
w0931_0940_h1h,09:31-09:40,1h,0.0340356496661094,18.141142,22.808194531937616
w0931_0940_hclose,09:31-09:40,close,0.0357433744291075,24.731178,25.42904484924081
w1001_1010_h1m,10:01-10:10,1m,0.2618075181034522,8.490674,7.471152895331185
w1001_1010_h3m,10:01-10:10,3m,0.1893581271399574,8.550818,10.25226171897968
w1001_1010_h5m,10:01-10:10,5m,0.1572498088928972,8.582643,10.187273959378466
w1001_1010_h10m,10:01-10:10,10m,0.11561674032328,9.00076,11.662815075096
w1001_1010_h1h,10:01-10:10,1h,0.0477121462196219,9.940753,12.16220816534674
w1001_1010_hclose,10:01-10:10,close,0.0467522997260747,17.280302,13.594346736578013
w1401_1410_h1m,14:01-14:10,1m,0.379537176235158,7.6331162,0.9204249738578916
w1401_1410_h3m,14:01-14:10,3m,0.317229206693792,8.059037,2.634863765230863
w1401_1410_h5m,14:01-14:10,5m,0.2821233087913524,8.174682,3.2377514850272053
