case,window,label,short_ic,short_excess_bps,overnight_excess_bps
w0931_0940_h1m,09:31-09:40,1m,0.16054524990921434,11.89653,18.567666424834368
w0931_0940_h3m,09:31-09:40,3m,0.1075784256285318,12.73471665,20.339969202467152
w0931_0940_h5m,09:31-09:40,5m,0.08800476048963565,13.54441551875,21.32340709999165
w0931_0940_h10m,09:31-09:40,10m,0.06597431987938905,14.9890838875,21.507885436026662
w0931_0940_h1h,09:31-09:40,1h,0.034097137804801364,18.10617870625,22.946525297625218
w0931_0940_hclose,09:31-09:40,close,0.03592710377699402,24.8665810625,25.663468229698726
w1001_1010_h1m,10:01-10:10,1m,0.2617881748520656,8.5064086125,7.644301334965732
w1001_1010_h3m,10:01-10:10,3m,0.1893550921693036,8.5633368,10.415549861645315
w1001_1010_h5m,10:01-10:10,5m,0.15721726348067186,8.598960493749999,10.354909227955499
w1001_1010_h10m,10:01-10:10,10m,0.11559168782270643,9.006462775,11.850654365653902
w1001_1010_h1h,10:01-10:10,1h,0.04770661897337579,9.98701243125,12.447022924016247
w1001_1010_hclose,10:01-10:10,close,0.04694442923937965,17.45202790625,13.845970842401957
w1401_1410_h1m,14:01-14:10,1m,0.3794532551150162,7.64746646875,0.9808900848539422
w1401_1410_h3m,14:01-14:10,3m,0.3171775066759403,8.07817114375,2.6619809155102585
w1401_1410_h5m,14:01-14:10,5m,0.2820476287742454,8.197388137499999,3.297631415919728
