case,window,label,test_fold,run_id,test_year,test_month,train_start_date,train_end_date,test_start_date,test_end_date,train_rows,train_dates,train_symbols,test_rows,test_dates,test_symbols,features,model_name,alpha,model_target_col,model_test_r2,ic_mode,selection_mode,top_n,stock_pool_enabled,stock_pool_name,stock_pool_path,stock_pool_date_lag_sessions,stock_pool_filter_train,stock_pool_filter_selection,stock_pool_add_feature,rows,dates,symbols,sample_grain,ic_grouping,ic_groups,overall_ic,overall_rank_ic,group_ic_mean,group_ic_std,group_ic_ir,group_rank_ic_mean,group_rank_ic_std,group_rank_ic_ir,daily_ic_mean,daily_ic_std,daily_ic_ir,daily_rank_ic_mean,daily_rank_ic_std,daily_rank_ic_ir,mean_label,win_rate,top_score_trades,top_score_groups,top_score_group_cols,top_score_mean_return,top_score_median_return,top_score_win_rate,top_score_return_std
w0931_0940_h1m,09:31-09:40,1m,2022-01,nn_ds350_w0931_0940_h1m_36m_grouped_gated_v2_mse_v1,2022,2022-01,2019-01-02,2021-12-31,2022-01-04,2022-06-30,28460161,730,4648,5380330,117,4751,350,torch_mlp,1.0,target_label,0.0570247147696416,cross_section,cross_section,100,False,,,0,False,False,False,5380330,117,4751,date x symbol x opening_tick,"date,decision_target_timestamp",1170,0.2384596625575135,0.1689761068808273,0.2547181522557349,0.0606666560158054,4.198651598488857,0.1867540093333255,0.0570650877784983,3.2726491205660246,0.2391751750056961,0.0399601289168518,5.985345430275431,0.169876611822437,0.0391962979861987,4.333996335119502,-0.0009627722902223,0.3793165103255748,117000,1170,"date,decision_target_timestamp",0.0025590527802705,0.0014881822280585,0.5771367521367521,0.0114124901592731
w0931_0940_h1m,09:31-09:40,1m,2022-07,nn_ds350_w0931_0940_h1m_36m_grouped_gated_v2_mse_v1,2022,2022-07,2019-07-01,2022-06-30,2022-07-01,2022-12-30,29678007,729,4798,5951569,125,4906,350,torch_mlp,1.0,target_label,0.0371352292469194,cross_section,cross_section,100,False,,,0,False,False,False,5951569,125,4906,date x symbol x opening_tick,"date,decision_target_timestamp",1250,0.2000447023806419,0.1608352716471686,0.209245859498882,0.0507976424341299,4.119204149488127,0.1714374059666129,0.058659744744216,2.922573337374041,0.2005343208262263,0.0269911950567379,7.429619933637073,0.1609879902760021,0.0300787401864142,5.352218519734281,-0.0009624289814382,0.3655306693075389,125000,1250,"date,decision_target_timestamp",0.0018219870980829,0.0010000423062592,0.55784,0.0101585332304239
w0931_0940_h1m,09:31-09:40,1m,2023-01,nn_ds350_w0931_0940_h1m_36m_grouped_gated_v2_mse_v1,2023,2023-01,2020-01-02,2022-12-30,2023-01-03,2023-06-30,31086033,728,4983,5780488,118,5036,350,torch_mlp,1.0,target_label,0.0444645073187546,cross_section,cross_section,100,False,,,0,False,False,False,5780488,118,5036,date x symbol x opening_tick,"date,decision_target_timestamp",1180,0.2106438363378238,0.1603754924509631,0.2179749918473209,0.0609106013023048,3.578605155537558,0.1664125273281528,0.0543007138784502,3.0646471370645294,0.2080797527870688,0.0305234059364965,6.81705551536337,0.1559470990633753,0.0274386745452141,5.683477851905769,-0.000839582295157,0.3571419921639834,118000,1180,"date,decision_target_timestamp",0.0015059990109875,0.0007428522221744,0.5469830508474576,0.009768446907401
w0931_0940_h1m,09:31-09:40,1m,2023-07,nn_ds350_w0931_0940_h1m_36m_grouped_gated_v2_mse_v1,2023,2023-07,2020-07-01,2023-06-30,2023-07-03,2023-12-29,32495338,729,5109,6223665,124,5111,350,torch_mlp,1.0,target_label,0.0413400440227198,cross_section,cross_section,100,False,,,0,False,False,False,6223665,124,5111,date x symbol x opening_tick,"date,decision_target_timestamp",1240,0.1996814462229951,0.144391652163036,0.2151211781446726,0.0651130453341067,3.303810734712949,0.1608261712450799,0.0595057352635213,2.702700345317316,0.1975884426524118,0.0351429344059684,5.62242299888466,0.1412745565702079,0.0331311723078624,4.264097728189403,-0.0007912864093668,0.3661432612455844,124000,1240,"date,decision_target_timestamp",0.00135046930518,0.0004267026379238,0.5271935483870968,0.0101912626996636
w0931_0940_h1m,09:31-09:40,1m,2024-01,nn_ds350_w0931_0940_h1m_36m_grouped_gated_v2_mse_v1,2024,2024-01,2021-01-04,2023-12-29,2024-01-02,2024-06-28,33766250,727,5202,5916143,117,5127,350,torch_mlp,1.0,target_label,0.0432268835585857,cross_section,cross_section,100,False,,,0,False,False,False,5916143,117,5127,date x symbol x opening_tick,"date,decision_target_timestamp",1170,0.1864538017919201,0.1362772858219982,0.2171576679099245,0.0732882622689697,2.963062040043337,0.1603813063805763,0.0804907373702367,1.9925436344664555,0.1944484815174289,0.046958834309293,4.1408285443522646,0.1366923810539661,0.0512381026223774,2.6677877215981822,-0.0009418379049748,0.382575776143342,117000,1170,"date,decision_target_timestamp",0.0015687263803556,0.0005193292745389,0.5323760683760683,0.0109403114765882
w0931_0940_h1m,09:31-09:40,1m,2024-07,nn_ds350_w0931_0940_h1m_36m_grouped_gated_v2_mse_v1,2024,2024-07,2021-07-01,2024-06-28,2024-07-01,2024-12-31,34776925,726,5226,6295947,125,5136,350,torch_mlp,1.0,target_label,0.0324778190224425,cross_section,cross_section,100,False,,,0,False,False,False,6295947,125,5136,date x symbol x opening_tick,"date,decision_target_timestamp",1250,0.1882475164212573,0.1435944352567739,0.2118780848544238,0.0733588723502827,2.8882407548840585,0.1682377860071913,0.089447442367702,1.8808563057129872,0.1904047193245833,0.0460409971463609,4.135547254098361,0.143179293347249,0.0620129859143109,2.308859849856173,-0.0009550883551128,0.3785559185933426,125000,1250,"date,decision_target_timestamp",0.0016473941504955,0.0003279166994616,0.522496,0.01224001403898
w0931_0940_h1m,09:31-09:40,1m,2025-01,nn_ds350_w0931_0940_h1m_36m_grouped_gated_v2_mse_v1,2025,2025-01,2022-01-04,2024-12-31,2025-01-02,2025-06-30,35548142,726,5260,5952000,117,5167,350,torch_mlp,1.0,target_label,0.0215183900068229,cross_section,cross_section,100,False,,,0,False,False,False,5952000,117,5167,date x symbol x opening_tick,"date,decision_target_timestamp",1170,0.1458864590847204,0.1180564365096033,0.1624460637833256,0.0694017908025022,2.340660981581888,0.1360244768960528,0.0812521625452196,1.674102850128458,0.1458139719842598,0.0396062398079849,3.681590898080221,0.1154589343795699,0.043065014018358,2.6810378914622275,-0.0008046282455325,0.3781586021505376,117000,1170,"date,decision_target_timestamp",0.0009217116748914,-5.8717756473924965e-05,0.4936666666666666,0.0108290677890181
w0931_0940_h1m,09:31-09:40,1m,2025-07,nn_ds350_w0931_0940_h1m_36m_grouped_gated_v2_mse_v1,2025,2025-07,2022-07-01,2025-06-30,2025-07-01,2025-12-31,36119812,726,5266,6451329,126,5195,350,torch_mlp,1.0,target_label,0.0205424817239878,cross_section,cross_section,100,False,,,0,False,False,False,6451329,126,5195,date x symbol x opening_tick,"date,decision_target_timestamp",1260,0.1411362590306087,0.1240403991257666,0.1507829272208642,0.0746246843257432,2.0205502855152284,0.1356995540846408,0.0814609608857934,1.665823145333245,0.1403236595496821,0.046026819322975,3.04873683677806,0.1250307401963079,0.0464201445073581,2.6934586594509446,-0.0006317308871075,0.3768098015153157,126000,1260,"date,decision_target_timestamp",0.0006813268410041,-0.0001811213442124,0.4867380952380952,0.010580881498754
w0931_0940_h3m,09:31-09:40,3m,2022-01,nn_ds350_w0931_0940_h3m_36m_grouped_gated_v2_mse_v1,2022,2022-01,2019-01-02,2021-12-31,2022-01-04,2022-06-30,28429508,730,4648,5375724,117,4751,350,torch_mlp,1.0,target_label,0.0312008415063042,cross_section,cross_section,100,False,,,0,False,False,False,5375724,117,4751,date x symbol x opening_tick,"date,decision_target_timestamp",1170,0.1795855008190686,0.1266548526664724,0.1897035382991922,0.0565381518015128,3.3553190589812667,0.138166491176092,0.056454566025456,2.447392671724571,0.1819286074221741,0.0351531698554587,5.175311591251094,0.1297463129392813,0.0388603678340274,3.3387824194929823,-0.0008618325809948,0.4126298150723512,117000,1170,"date,decision_target_timestamp",0.0030974212568253,0.0014445285778492,0.5552820512820513,0.0158654917031526
w0931_0940_h3m,09:31-09:40,3m,2022-07,nn_ds350_w0931_0940_h3m_36m_grouped_gated_v2_mse_v1,2022,2022-07,2019-07-01,2022-06-30,2022-07-01,2022-12-30,29645636,729,4798,5947192,125,4906,350,torch_mlp,1.0,target_label,0.0168043996739065,cross_section,cross_section,100,False,,,0,False,False,False,5947192,125,4906,date x symbol x opening_tick,"date,decision_target_timestamp",1250,0.1429904411135847,0.1123211191289902,0.1486516773442852,0.0486918674092663,3.0529056545487068,0.1203761519219328,0.0556508849606113,2.1630590781643977,0.1444527054235528,0.0298609017163295,4.837519871161771,0.1137477457330515,0.0323091130467905,3.520608738727072,-0.0008937518578022,0.3985364857902687,125000,1250,"date,decision_target_timestamp",0.0020889609586447,0.0007357072317972,0.53108,0.0142503939568996
