case,window,label,pool,year,half,months,short_internal_excess_bps,next_internal_excess_bps,short_rank_ic,next_rank_ic,short_positive_months,next_positive_months
w0931_0940_h1m,09:31-09:40,1m,universe,2022,H1,6,34.94067,9.913172156177382,0.1858198139306895,0.0222860568053515,6,3
w0931_0940_h1m,09:31-09:40,1m,universe,2022,H2,6,27.744593,7.193441341344062,0.1712711360648154,0.0138885670615516,6,3
w0931_0940_h1m,09:31-09:40,1m,universe,2023,H1,6,23.434397,23.045378522645134,0.1664562266315096,0.0200778010071126,6,5
w0931_0940_h1m,09:31-09:40,1m,universe,2023,H2,6,21.340353,-0.5545974994443373,0.1600995330655331,-0.0011678614979677,6,2
w0931_0940_h1m,09:31-09:40,1m,universe,2024,H1,6,25.196383,6.4093643250434456,0.1590467583849987,0.0318765581910273,6,3
w0931_0940_h1m,09:31-09:40,1m,universe,2024,H2,6,26.451607,0.6340208098796563,0.1676403075049806,0.0004701706188958,6,2
w0931_0940_h1m,09:31-09:40,1m,universe,2025,H1,6,17.261156,-13.236407231232215,0.1360018674430504,0.0074957853147071,6,1
w0931_0940_h1m,09:31-09:40,1m,universe,2025,H2,6,13.06321,-5.165683246491722,0.1344338512695502,0.0117541292928625,6,3
w0931_0940_h1m,09:31-09:40,1m,pool_L,2022,H1,6,18.864769,28.949221200856712,0.1658724165795162,0.0184765360574051,6,6
w0931_0940_h1m,09:31-09:40,1m,pool_L,2022,H2,6,14.531929,11.021637837674405,0.1502056624424063,0.0121356299901067,6,4
w0931_0940_h1m,09:31-09:40,1m,pool_L,2023,H1,6,12.772223,33.649582443990475,0.1478523454126818,0.0137845166176827,6,6
w0931_0940_h1m,09:31-09:40,1m,pool_L,2023,H2,6,9.516021,11.914313382565911,0.1383972119476519,-0.0100715604318791,6,5
w0931_0940_h1m,09:31-09:40,1m,pool_L,2024,H1,6,12.2115555,20.034981700511675,0.1430009552161122,0.0262311736330318,6,5
w0931_0940_h1m,09:31-09:40,1m,pool_L,2024,H2,6,12.455265,12.53754449135208,0.1567527424881682,-0.0049443711109351,6,4
w0931_0940_h1m,09:31-09:40,1m,pool_L,2025,H1,6,7.506993,15.85345837954162,0.1337641044907462,0.0061140002908465,6,4
w0931_0940_h1m,09:31-09:40,1m,pool_L,2025,H2,6,7.456831,17.54185914362834,0.1258966564615959,0.0073295354043064,6,4
w0931_0940_h3m,09:31-09:40,3m,universe,2022,H1,6,39.331684,20.30301659374595,0.1373542789292985,0.0256042845984191,6,4
w0931_0940_h3m,09:31-09:40,3m,universe,2022,H2,6,29.69539,15.968923731657648,0.1204908895491106,0.0172358451864091,6,5
w0931_0940_h3m,09:31-09:40,3m,universe,2023,H1,6,25.343851,29.18641580418387,0.1120334260971439,0.020847957617546,6,5
w0931_0940_h3m,09:31-09:40,3m,universe,2023,H2,6,23.732887,5.782377147340092,0.1115906202349473,0.0034808824021788,6,3
w0931_0940_h3m,09:31-09:40,3m,universe,2024,H1,6,26.826025,13.216799120339797,0.1000625005896234,0.0315188454985902,6,4
w0931_0940_h3m,09:31-09:40,3m,universe,2024,H2,6,27.282211,6.731049306529897,0.1105100498405313,0.0027269509301453,6,3
w0931_0940_h3m,09:31-09:40,3m,universe,2025,H1,6,18.857553,-5.236640600844119,0.0794173824049487,0.0056503750229281,6,3
w0931_0940_h3m,09:31-09:40,3m,universe,2025,H2,6,15.519051,-2.1226585572739443,0.0868423058488147,0.0087172407138834,6,3
w0931_0940_h3m,09:31-09:40,3m,pool_L,2022,H1,6,21.53943,33.18979963225068,0.1213946342345645,0.0208404108516813,6,6
w0931_0940_h3m,09:31-09:40,3m,pool_L,2022,H2,6,15.370128,13.182716453483025,0.1037208780987305,0.0149844376072457,6,4
w0931_0940_h3m,09:31-09:40,3m,pool_L,2023,H1,6,13.998688,36.01319458145185,0.0973242137773827,0.013478863542049,6,6
w0931_0940_h3m,09:31-09:40,3m,pool_L,2023,H2,6,11.082569,14.897174955936242,0.0941681709171203,-0.0054454831787312,6,5
w0931_0940_h3m,09:31-09:40,3m,pool_L,2024,H1,6,12.2216,19.980781676055056,0.0869530136980231,0.0238210692074931,6,5
w0931_0940_h3m,09:31-09:40,3m,pool_L,2024,H2,6,12.3091545,15.768806175437186,0.1024419936857826,-0.0028616597776065,6,5
w0931_0940_h3m,09:31-09:40,3m,pool_L,2025,H1,6,6.8717866,16.439130305564152,0.0772889205056741,0.0048175424201452,6,4
w0931_0940_h3m,09:31-09:40,3m,pool_L,2025,H2,6,8.808977,17.373846680741334,0.0787260988375685,0.0044389133198394,6,4
w0931_0940_h5m,09:31-09:40,5m,universe,2022,H1,6,42.716015,28.206239453974685,0.1176546981264813,0.0234163464962672,6,5
w0931_0940_h5m,09:31-09:40,5m,universe,2022,H2,6,31.595383,16.90471754202208,0.1045378509796344,0.0202355442118562,6,5
w0931_0940_h5m,09:31-09:40,5m,universe,2023,H1,6,26.521807,30.07999595851926,0.0938740348558782,0.025248384812358,6,5
w0931_0940_h5m,09:31-09:40,5m,universe,2023,H2,6,26.976404,6.283367970353567,0.0907631790569541,0.0051634197055208,6,4
w0931_0940_h5m,09:31-09:40,5m,universe,2024,H1,6,29.784887,9.353546716009916,0.0803508911577327,0.0262799753382053,6,3
w0931_0940_h5m,09:31-09:40,5m,universe,2024,H2,6,30.498962,7.418797432993235,0.0867534184026435,0.0026555948510611,6,3
w0931_0940_h5m,09:31-09:40,5m,universe,2025,H1,6,21.96692,-3.550935615639639,0.063329448433866,0.0055610040420784,6,3
w0931_0940_h5m,09:31-09:40,5m,universe,2025,H2,6,17.703491,-0.6341375709132538,0.0646960658862433,0.0016736576168272,6,3
w0931_0940_h5m,09:31-09:40,5m,pool_L,2022,H1,6,23.142958,35.591615406344495,0.1028609283881234,0.0202799839997119,6,6
w0931_0940_h5m,09:31-09:40,5m,pool_L,2022,H2,6,15.7558975,14.96274391757908,0.0896810823730186,0.0183015160942041,6,5
w0931_0940_h5m,09:31-09:40,5m,pool_L,2023,H1,6,14.665001,36.80730680316488,0.0803551841728032,0.0179237998283561,6,6
w0931_0940_h5m,09:31-09:40,5m,pool_L,2023,H2,6,13.266185,14.41451072311368,0.0747516458913503,-0.0029788134581511,6,5
w0931_0940_h5m,09:31-09:40,5m,pool_L,2024,H1,6,12.25126,19.49968375714121,0.0668513031774129,0.0199038860710546,6,4
w0931_0940_h5m,09:31-09:40,5m,pool_L,2024,H2,6,12.59242,17.077985438084497,0.0792490062056575,-0.0014091435817208,6,4
w0931_0940_h5m,09:31-09:40,5m,pool_L,2025,H1,6,7.76988,20.025551295172168,0.0613717275322229,0.0070598238375384,6,4
w0931_0940_h5m,09:31-09:40,5m,pool_L,2025,H2,6,9.2576,17.22816205077066,0.0573321113067209,-9.108799979465344e-05,6,4
w0931_0940_h10m,09:31-09:40,10m,universe,2022,H1,6,49.07147,26.729745204062382,0.0971948544270272,0.025651968700728,6,5
w0931_0940_h10m,09:31-09:40,10m,universe,2022,H2,6,36.06564,19.72650431099442,0.0787436017224684,0.021022795802739,6,5
w0931_0940_h10m,09:31-09:40,10m,universe,2023,H1,6,29.216238,31.664801255783026,0.071072237242442,0.0206040742363269,6,5
w0931_0940_h10m,09:31-09:40,10m,universe,2023,H2,6,32.130367,1.745889507056751,0.0708526555700453,0.0055036622603707,6,2
w0931_0940_h10m,09:31-09:40,10m,universe,2024,H1,6,29.969864,9.071503883827416,0.0585111445787852,0.0228670262596856,6,3
w0931_0940_h10m,09:31-09:40,10m,universe,2024,H2,6,35.772076,7.040877874784994,0.0605422962444097,0.0016436555794867,6,3
w0931_0940_h10m,09:31-09:40,10m,universe,2025,H1,6,24.895365,-1.0539758538410628,0.0436033801498431,0.0046509259055809,6,3
w0931_0940_h10m,09:31-09:40,10m,universe,2025,H2,6,17.552923,-5.784815600825603,0.0458528284743621,-0.0039722592101479,6,3
w0931_0940_h10m,09:31-09:40,10m,pool_L,2022,H1,6,26.874178,38.112919955192766,0.082766113602219,0.0227241988389633,6,6
w0931_0940_h10m,09:31-09:40,10m,pool_L,2022,H2,6,17.664717,15.333058102831544,0.0656826404696686,0.0175095403221069,6,5
w0931_0940_h10m,09:31-09:40,10m,pool_L,2023,H1,6,16.381721,37.48208401947492,0.0597683466073416,0.0141580461264694,6,6
w0931_0940_h10m,09:31-09:40,10m,pool_L,2023,H2,6,16.695219,14.579217438652918,0.058351732455577,-0.0009336470170057,6,5
w0931_0940_h10m,09:31-09:40,10m,pool_L,2024,H1,6,11.320506,15.845725240244072,0.0453013729087092,0.0138903003049351,6,4
w0931_0940_h10m,09:31-09:40,10m,pool_L,2024,H2,6,13.658371,16.7426262774478,0.0537664878647503,-0.0005339923776463,6,4
w0931_0940_h10m,09:31-09:40,10m,pool_L,2025,H1,6,8.706435,18.924986499015077,0.0403852868333891,0.0057497669168765,6,5
w0931_0940_h10m,09:31-09:40,10m,pool_L,2025,H2,6,9.368873,19.19115189737278,0.0442432080600388,0.001389825796855,6,4
w0931_0940_h1h,09:31-09:40,1h,universe,2022,H1,6,66.552376,21.524170437067813,0.056641961269824,0.0231932018730431,6,4
w0931_0940_h1h,09:31-09:40,1h,universe,2022,H2,6,49.357758,16.352817015714333,0.0445948011472687,0.0195720237399352,6,5
w0931_0940_h1h,09:31-09:40,1h,universe,2023,H1,6,40.113003,28.236759993380414,0.0374647457734416,0.0189667907073664,6,5
w0931_0940_h1h,09:31-09:40,1h,universe,2023,H2,6,45.766247,-7.759946055360271,0.0325687417483203,2.5489543535920912e-05,6,2
w0931_0940_h1h,09:31-09:40,1h,universe,2024,H1,6,45.91313,11.570565985913593,0.0374674501813267,0.019863145380053,6,2
w0931_0940_h1h,09:31-09:40,1h,universe,2024,H2,6,54.952305,7.428421971943432,0.0274745757349393,0.001843508673343,6,3
w0931_0940_h1h,09:31-09:40,1h,universe,2025,H1,6,36.103916,-9.609096466141432,0.0221678272445006,0.006390581357741,6,3
w0931_0940_h1h,09:31-09:40,1h,universe,2025,H2,6,26.585337,-3.5949421635846237,0.0180433662512712,-0.0033799947064815,6,3
w0931_0940_h1h,09:31-09:40,1h,pool_L,2022,H1,6,30.126795,43.26544421671368,0.0448198834492146,0.0222306577349307,6,6
w0931_0940_h1h,09:31-09:40,1h,pool_L,2022,H2,6,20.890825,19.501471347766927,0.0342999469591051,0.0190166970863538,6,5
