case,window,label,pool,test_month,groups,months,candidate_rows,selected_rows,pool_short_mean_bps,selected_short_mean_bps,short_internal_excess_bps,pool_next_mean_bps,selected_next_mean_bps,next_internal_excess_bps,short_rank_ic,next_rank_ic
w0931_0940_h1m,09:31-09:40,1m,universe,2022Q1,580,3,4574.589655172414,100.0,-10.096039,25.949291,36.04533,-42.59172792842582,-18.414195427644177,24.177532500781645,0.1811658472113396,0.0095206172363059
w0931_0940_h1m,09:31-09:40,1m,universe,2022Q2,590,3,4622.149152542373,100.0,-9.135125,25.237844,34.37297,9.59243304779522,3.8465241330685407,-5.745908914726678,0.1922474568430744,0.0340586163055645
w0931_0940_h1m,09:31-09:40,1m,universe,2022Q3,650,3,4712.332307692308,100.0,-10.210277,19.654902,29.865177,-34.023738500412335,-28.41317554759329,5.610562952819042,0.1763183597601655,0.0077902354243473
w0931_0940_h1m,09:31-09:40,1m,universe,2022Q4,600,3,4814.255,100.0,-8.979641,16.665255,25.644897,20.19177570184526,27.207838680976497,7.016062979131234,0.1661497060235976,0.0189749975225163
w0931_0940_h1m,09:31-09:40,1m,universe,2023Q1,590,3,4874.31186440678,100.0,-7.559466,12.836752,20.396217,18.616830222659257,34.71366249885331,16.09683227619405,0.1738623171559183,0.0221872606384871
w0931_0940_h1m,09:31-09:40,1m,universe,2023Q2,590,3,4923.125423728814,100.0,-9.215606,17.283228,26.498833,-3.8902920448007,29.30989984797891,33.20019189277961,0.1589627375003872,0.0164961250453833
w0931_0940_h1m,09:31-09:40,1m,universe,2023Q3,640,3,4997.090625,100.0,-8.406504,14.123082,22.529585,-17.291476564889102,-14.30153936293855,2.989937201950553,0.1613010653936298,-0.0030069894669076
w0931_0940_h1m,09:31-09:40,1m,universe,2023Q4,600,3,5042.545,100.0,-7.381974,12.845076,20.22705,3.5575962873662728,-0.8734663045498545,-4.431062591916128,0.1603196174866268,0.0017209004068687
w0931_0940_h1m,09:31-09:40,1m,universe,2024Q1,580,3,5061.212068965518,100.0,-8.497933,17.38822,25.886152,-20.051983674158578,-8.818684757739883,11.233298916418695,0.1535649492001795,0.0109337168764795
w0931_0940_h1m,09:31-09:40,1m,universe,2024Q2,590,3,5051.932203389831,100.0,-10.314391,14.015139,24.32953,-37.61654048212096,-42.72583085420553,-5.109290372084576,0.1670821320833393,0.0479926064290006
w0931_0940_h1m,09:31-09:40,1m,universe,2024Q3,640,3,5028.1390625,100.0,-10.104639,10.899929,21.004568,57.76230402244802,55.69614190359262,-2.0661621188554067,0.1961564267363482,-0.0133266428959279
w0931_0940_h1m,09:31-09:40,1m,universe,2024Q4,610,3,5045.8,100.0,-9.005498,22.322086,31.327583,-13.002545274883223,-16.579574205696932,-3.577028930813708,0.1389460973733217,0.014507339810363
w0931_0940_h1m,09:31-09:40,1m,universe,2025Q1,570,3,5083.117543859649,100.0,-7.5592737,10.737621,18.296896,25.089339588545908,6.351795396175951,-18.73754419236996,0.1354788531552624,0.0190618637871843
w0931_0940_h1m,09:31-09:40,1m,universe,2025Q2,600,3,5091.038333333333,100.0,-8.500218,7.772636,16.272854,22.88610325702613,12.84133226985074,-10.044770987175388,0.1365428194498038,-0.0041936052869401
w0931_0940_h1m,09:31-09:40,1m,universe,2025Q3,660,3,5115.89696969697,100.0,-5.9304333,8.155945,14.086377,34.692147911002,28.53317427966357,-6.158973631338431,0.1434345040331039,0.0220462856649085
w0931_0940_h1m,09:31-09:40,1m,universe,2025Q4,600,3,5124.7283333333335,100.0,-6.740732,5.336325,12.077058,10.386659882290438,7.325965417588206,-3.0606944647022334,0.1271911091413314,0.0049616352800924
w0931_0940_h1m,09:31-09:40,1m,pool_L,2022Q1,580,3,3082.5103448275863,100.0,-9.74222,8.610101,18.35232,-34.15569831467221,3.1327469253875297,37.28844524005974,0.1592652724555985,0.0050256996801704
