case,window,label,pool,variant,run_id,groups,months,candidate_rows,selected_rows,pool_short_mean_bps,selected_short_mean_bps,short_internal_excess_bps,pool_next_mean_bps,selected_next_mean_bps,next_internal_excess_bps,short_rank_ic,next_rank_ic,short_positive_months,next_positive_months,short_positive_clocks,next_positive_clocks
w0931_0940_h1m,09:31-09:40,1m,universe,w0931_0940_h1m,nn_ds350_w0931_0940_h1m_36m_grouped_gated_v2_mse_v1,9690,48,4948.55221878225,100.0,-8.59841,15.020394,23.618805,2.3825026422007927,4.8817236331231015,2.4992209909223093,0.1606464004188513,0.012884489783414,48,22,10,4
w0931_0940_h1m,09:31-09:40,1m,pool_L,w0931_0940_h1m,nn_ds350_w0931_0940_h1m_36m_grouped_gated_v2_mse_v1,9690,48,3373.667285861713,100.0,-8.254118,3.6174226,11.87154,11.158507185691578,29.59869796598501,18.440190780293435,0.145892357611957,0.0083044743743929,48,38,10,10
w0931_0940_h3m,09:31-09:40,3m,universe,w0931_0940_h3m,nn_ds350_w0931_0940_h3m_36m_grouped_gated_v2_mse_v1,9690,48,4945.336222910217,100.0,-7.5991464,18.17743,25.776573,2.3918817616400694,11.784348674209294,9.392466912569224,0.1076948152492202,0.0137779282682506,48,30,10,8
w0931_0940_h3m,09:31-09:40,3m,pool_L,w0931_0940_h3m,nn_ds350_w0931_0940_h3m_36m_grouped_gated_v2_mse_v1,9690,48,3371.8131062951497,100.0,-7.364012,5.3509564,12.714969,11.164375599822762,31.358969499276576,20.19459389945381,0.0957291210292942,0.008734401709288,48,39,10,10
w0931_0940_h5m,09:31-09:40,5m,universe,w0931_0940_h5m,nn_ds350_w0931_0940_h5m_36m_grouped_gated_v2_mse_v1,9690,48,4942.731682146543,100.0,-6.867989,21.501495,28.369486,2.4051119939692973,12.782900519593728,10.37778852562443,0.0880609956224308,0.0131024940538852,48,31,10,8
w0931_0940_h5m,09:31-09:40,5m,pool_L,w0931_0940_h5m,nn_ds350_w0931_0940_h5m_36m_grouped_gated_v2_mse_v1,9690,48,3370.4669762641897,100.0,-6.6992383,6.827141,13.526378,11.173095268859733,32.33906406684694,21.165968797987205,0.0769700130627846,0.0093885947599944,48,38,10,10
w0931_0940_h10m,09:31-09:40,10m,universe,w0931_0940_h10m,nn_ds350_w0931_0940_h10m_36m_grouped_gated_v2_mse_v1,9690,48,4935.066357069143,100.0,-5.7767158,25.917252,31.693966,2.4323730897603717,12.270866367560505,9.838493277800133,0.0659480284503621,0.0114308906743641,48,29,10,8
w0931_0940_h10m,09:31-09:40,10m,pool_L,w0931_0940_h10m,nn_ds350_w0931_0940_h10m_36m_grouped_gated_v2_mse_v1,9690,48,3366.092156862745,100.0,-5.6600266,9.309738,14.969765,11.195914710686292,32.55465730552707,21.358742594840784,0.056573046043146,0.0087003482184481,48,39,10,10
w0931_0940_h1h,09:31-09:40,1h,universe,w0931_0940_h1h,nn_ds350_w0931_0940_h1h_36m_grouped_gated_v2_mse_v1,9690,48,4828.87729618163,100.0,-1.8603239,43.51408,45.374405,2.82307014338385,9.450599798501177,6.627529655117327,0.0340356496661094,0.0099160137594443,48,27,10,8
w0931_0940_h1h,09:31-09:40,1h,pool_L,w0931_0940_h1h,nn_ds350_w0931_0940_h1h_36m_grouped_gated_v2_mse_v1,9690,48,3300.239628482972,100.0,-1.902492,16.23865,18.141142,11.59614297471948,34.40433750665709,22.808194531937616,0.0270195702953607,0.0102133940076893,46,39,10,10
w0931_0940_hclose,09:31-09:40,close,universe,w0931_0940_hclose,nn_ds350_w0931_0940_hclose_36m_grouped_gated_v2_mse_v1,9690,48,4969.555211558308,100.0,0.10031109,51.97124,51.87093,2.2526693864871903,19.128616418734808,16.875947032247616,0.0357433744291075,0.0213372772489393,48,33,10,10
w0931_0940_hclose,09:31-09:40,close,pool_L,w0931_0940_hclose,nn_ds350_w0931_0940_hclose_36m_grouped_gated_v2_mse_v1,9690,48,3383.46346749226,100.0,0.94053066,25.671711,24.731178,11.08059384293854,36.50963869217936,25.42904484924081,0.0269824319701017,0.0169784742215962,46,41,10,10
w1001_1010_h1m,10:01-10:10,1m,universe,w1001_1010_h1m,nn_ds350_w1001_1010_h1m_36m_grouped_gated_v2_mse_v1,9690,48,4883.997832817337,100.0,-7.8491726,7.075137,14.92431,-1.7786368387901268,-20.717753774673955,-18.939116935883828,0.2618075181034522,0.0082316307500105,48,12,10,0
w1001_1010_h1m,10:01-10:10,1m,pool_L,w1001_1010_h1m,nn_ds350_w1001_1010_h1m_36m_grouped_gated_v2_mse_v1,9690,48,3337.2478844169245,100.0,-7.624649,0.8660246,8.490674,7.0598620319308445,14.53101492726203,7.471152895331185,0.2495392866930043,0.0040810911157189,48,30,10,10
w1001_1010_h3m,10:01-10:10,3m,universe,w1001_1010_h3m,nn_ds350_w1001_1010_h3m_36m_grouped_gated_v2_mse_v1,9690,48,4879.06769865841,100.0,-7.7764683,7.0693336,14.845802,-1.779757966839282,-15.799598146283367,-14.019840179444088,0.1893581271399574,0.0100587808394667,48,18,10,0
w1001_1010_h3m,10:01-10:10,3m,pool_L,w1001_1010_h3m,nn_ds350_w1001_1010_h3m_36m_grouped_gated_v2_mse_v1,9690,48,3334.1191950464395,100.0,-7.6060724,0.94474584,8.550818,7.061567850058864,17.313829569038546,10.25226171897968,0.179264288158387,0.0057175733299907,48,33,10,10
w1001_1010_h5m,10:01-10:10,5m,universe,w1001_1010_h5m,nn_ds350_w1001_1010_h5m_36m_grouped_gated_v2_mse_v1,9690,48,4874.923839009288,100.0,-7.674364,7.366366,15.0407295,-1.7743857809525134,-13.793270676306586,-12.018884895354072,0.1572498088928972,0.0110741654206338,48,17,10,0
w1001_1010_h5m,10:01-10:10,5m,pool_L,w1001_1010_h5m,nn_ds350_w1001_1010_h5m_36m_grouped_gated_v2_mse_v1,9690,48,3331.6016511867906,100.0,-7.549738,1.0329043,8.582643,7.066368858450021,17.253642817828485,10.187273959378466,0.1480643991432047,0.0066680266235735,48,34,10,10
