case,window,label,test_fold,epochs_trained,best_epoch,train_loss,validation_loss,train_rows,features,gpu,config_sha256,source_revision,feature_input,label_input
w0931_0940_h1m,09:31-09:40,1m,2022-01,10,10,1.0583429988444588,1.05162096875,28460161,350,NVIDIA H20,dbb97c377e4daee6625419bcb310ccc659d398fa59244d8e47394a251cc34342,d44521d,/mnt/output/opening_strength_fit/datasets/opening_0931_0940_features_350,/mnt/output/opening_strength_fit/datasets/opening_0931_0940_labels_h1m_v2
w0931_0940_h1m,09:31-09:40,1m,2022-07,10,9,1.0671773104216036,1.076139015625,29678007,350,NVIDIA A100 80GB PCIe,dbb97c377e4daee6625419bcb310ccc659d398fa59244d8e47394a251cc34342,d44521d,/mnt/output/opening_strength_fit/datasets/opening_0931_0940_features_350,/mnt/output/opening_strength_fit/datasets/opening_0931_0940_labels_h1m_v2
w0931_0940_h1m,09:31-09:40,1m,2023-01,10,8,1.08123766082568,1.077619515625,31086033,350,NVIDIA H20,dbb97c377e4daee6625419bcb310ccc659d398fa59244d8e47394a251cc34342,d44521d,/mnt/output/opening_strength_fit/datasets/opening_0931_0940_features_350,/mnt/output/opening_strength_fit/datasets/opening_0931_0940_labels_h1m_v2
w0931_0940_h1m,09:31-09:40,1m,2023-07,10,10,1.0896603948244588,1.095504328125,32495338,350,NVIDIA A100 80GB PCIe,dbb97c377e4daee6625419bcb310ccc659d398fa59244d8e47394a251cc34342,d44521d,/mnt/output/opening_strength_fit/datasets/opening_0931_0940_features_350,/mnt/output/opening_strength_fit/datasets/opening_0931_0940_labels_h1m_v2
w0931_0940_h1m,09:31-09:40,1m,2024-01,10,10,1.0992270533416626,1.0975919140625,33766250,350,NVIDIA H20,dbb97c377e4daee6625419bcb310ccc659d398fa59244d8e47394a251cc34342,d44521d,/mnt/output/opening_strength_fit/datasets/opening_0931_0940_features_350,/mnt/output/opening_strength_fit/datasets/opening_0931_0940_labels_h1m_v2
w0931_0940_h1m,09:31-09:40,1m,2024-07,10,10,1.1038690364023873,1.10759865625,34776925,350,NVIDIA H20,dbb97c377e4daee6625419bcb310ccc659d398fa59244d8e47394a251cc34342,d44521d,/mnt/output/opening_strength_fit/datasets/opening_0931_0940_features_350,/mnt/output/opening_strength_fit/datasets/opening_0931_0940_labels_h1m_v2
w0931_0940_h1m,09:31-09:40,1m,2025-01,10,9,1.1056319159973198,1.10226734375,35548142,350,NVIDIA H20,dbb97c377e4daee6625419bcb310ccc659d398fa59244d8e47394a251cc34342,d44521d,/mnt/output/opening_strength_fit/datasets/opening_0931_0940_features_350,/mnt/output/opening_strength_fit/datasets/opening_0931_0940_labels_h1m_v2
w0931_0940_h1m,09:31-09:40,1m,2025-07,10,10,1.1105932534839464,1.12166115625,36119812,350,NVIDIA H20,db0d5b2f915feda5e2989533100ca9b08f3c16f31af8699c8235b3ec6c15b49e,ead87f9,/mnt/output/opening_strength_fit/datasets/opening_0931_0940_features_350,/mnt/output/opening_strength_fit/datasets/opening_0931_0940_labels_h1m_v2
w0931_0940_h3m,09:31-09:40,3m,2022-01,10,10,1.1279577072238096,1.140071328125,28429508,350,NVIDIA A100 80GB PCIe,dbb97c377e4daee6625419bcb310ccc659d398fa59244d8e47394a251cc34342,d44521d,/mnt/output/opening_strength_fit/datasets/opening_0931_0940_features_350,/mnt/output/opening_strength_fit/datasets/opening_0931_0940_labels_h3m_v2
w0931_0940_h3m,09:31-09:40,3m,2022-07,10,10,1.135327769080287,1.162564546875,29645636,350,NVIDIA H20,dbb97c377e4daee6625419bcb310ccc659d398fa59244d8e47394a251cc34342,d44521d,/mnt/output/opening_strength_fit/datasets/opening_0931_0940_features_350,/mnt/output/opening_strength_fit/datasets/opening_0931_0940_labels_h3m_v2
