test_month,variant,pool,pool_label,short_rank_ic,next_internal_excess_bps
2022Q1,v6 / 10 epochs,baseline,v6 / 10 epochs,0.181436,39.884184
2022Q1,ds350 / 30 epochs,current,ds350 / 30 epochs,0.186671,34.044727
2022Q2,v6 / 10 epochs,baseline,v6 / 10 epochs,0.192299,21.274908
2022Q2,ds350 / 30 epochs,current,ds350 / 30 epochs,0.196533,18.424028
2022Q3,v6 / 10 epochs,baseline,v6 / 10 epochs,0.175902,16.823790
2022Q3,ds350 / 30 epochs,current,ds350 / 30 epochs,0.178262,15.351858
2022Q4,v6 / 10 epochs,baseline,v6 / 10 epochs,0.166036,5.120157
2022Q4,ds350 / 30 epochs,current,ds350 / 30 epochs,0.167021,4.777134
2023Q1,v6 / 10 epochs,baseline,v6 / 10 epochs,0.173422,23.256377
2023Q1,ds350 / 30 epochs,current,ds350 / 30 epochs,0.176512,23.114629
2023Q2,v6 / 10 epochs,baseline,v6 / 10 epochs,0.159782,46.317070
2023Q2,ds350 / 30 epochs,current,ds350 / 30 epochs,0.163595,44.831391
2023Q3,v6 / 10 epochs,baseline,v6 / 10 epochs,0.159082,10.036010
2023Q3,ds350 / 30 epochs,current,ds350 / 30 epochs,0.162851,11.568273
2023Q4,v6 / 10 epochs,baseline,v6 / 10 epochs,0.157037,7.226623
2023Q4,ds350 / 30 epochs,current,ds350 / 30 epochs,0.159418,9.937258
2024Q1,v6 / 10 epochs,baseline,v6 / 10 epochs,0.151461,25.752810
2024Q1,ds350 / 30 epochs,current,ds350 / 30 epochs,0.155204,26.353544
2024Q2,v6 / 10 epochs,baseline,v6 / 10 epochs,0.163994,11.704619
2024Q2,ds350 / 30 epochs,current,ds350 / 30 epochs,0.168919,10.641658
2024Q3,v6 / 10 epochs,baseline,v6 / 10 epochs,0.193602,3.041969
2024Q3,ds350 / 30 epochs,current,ds350 / 30 epochs,0.196127,3.891546
2024Q4,v6 / 10 epochs,baseline,v6 / 10 epochs,0.137993,19.280728
2024Q4,ds350 / 30 epochs,current,ds350 / 30 epochs,0.136674,17.973023
2025Q1,v6 / 10 epochs,baseline,v6 / 10 epochs,0.136338,19.880781
2025Q1,ds350 / 30 epochs,current,ds350 / 30 epochs,0.135461,21.423597
2025Q2,v6 / 10 epochs,baseline,v6 / 10 epochs,0.138914,9.520457
2025Q2,ds350 / 30 epochs,current,ds350 / 30 epochs,0.136635,10.571877
2025Q3,v6 / 10 epochs,baseline,v6 / 10 epochs,0.144810,22.563071
2025Q3,ds350 / 30 epochs,current,ds350 / 30 epochs,0.143387,23.675863
2025Q4,v6 / 10 epochs,baseline,v6 / 10 epochs,0.129182,7.619332
2025Q4,ds350 / 30 epochs,current,ds350 / 30 epochs,0.130429,7.597348
Mean,v6 / 10 epochs,baseline,v6 / 10 epochs,0.160081,18.081430
Mean,ds350 / 30 epochs,current,ds350 / 30 epochs,0.162106,17.761110
