pool,pool_label,week_start,variant,next_cumulative_net_return_bps,next_cumulative_alpha_bps
baseline_pool_l,v6 / 10 epochs,2022-01-04,v6 / 10 epochs,-73.725422,-25.939077782634783
baseline_pool_l,v6 / 10 epochs,2022-01-05,v6 / 10 epochs,-71.076201,-12.187838594136558
baseline_pool_l,v6 / 10 epochs,2022-01-06,v6 / 10 epochs,-92.144548,-1.973890466090893
baseline_pool_l,v6 / 10 epochs,2022-01-07,v6 / 10 epochs,-142.204438,0.389396397012689
baseline_pool_l,v6 / 10 epochs,2022-01-10,v6 / 10 epochs,-75.687208,27.187401413234525
baseline_pool_l,v6 / 10 epochs,2022-01-11,v6 / 10 epochs,-44.802873,36.7219097293271
baseline_pool_l,v6 / 10 epochs,2022-01-12,v6 / 10 epochs,-50.272884,42.87555216117973
baseline_pool_l,v6 / 10 epochs,2022-01-13,v6 / 10 epochs,-100.997463,58.19989475522178
baseline_pool_l,v6 / 10 epochs,2022-01-14,v6 / 10 epochs,18.262607,98.7593073626091
baseline_pool_l,v6 / 10 epochs,2022-01-17,v6 / 10 epochs,27.273047,100.84760932377108
baseline_pool_l,v6 / 10 epochs,2022-01-18,v6 / 10 epochs,-46.240796,71.97742744800955
baseline_pool_l,v6 / 10 epochs,2022-01-19,v6 / 10 epochs,-165.686077,78.02831933417593
baseline_pool_l,v6 / 10 epochs,2022-01-20,v6 / 10 epochs,-366.389538,40.16242599700524
baseline_pool_l,v6 / 10 epochs,2022-01-21,v6 / 10 epochs,-411.469454,39.768030421420974
baseline_pool_l,v6 / 10 epochs,2022-01-24,v6 / 10 epochs,-543.303841,82.41500401369558
baseline_pool_l,v6 / 10 epochs,2022-01-25,v6 / 10 epochs,-700.85696,79.88696186973425
baseline_pool_l,v6 / 10 epochs,2022-01-26,v6 / 10 epochs,-896.852702,45.10333424996213
baseline_pool_l,v6 / 10 epochs,2022-01-27,v6 / 10 epochs,-1017.701698,5.471604014530044
baseline_pool_l,v6 / 10 epochs,2022-01-28,v6 / 10 epochs,-918.822027,18.011644753204223
baseline_pool_l,v6 / 10 epochs,2022-02-07,v6 / 10 epochs,-796.447118,64.29451695379362
baseline_pool_l,v6 / 10 epochs,2022-02-08,v6 / 10 epochs,-612.830273,99.5708872201866
baseline_pool_l,v6 / 10 epochs,2022-02-09,v6 / 10 epochs,-510.880838,160.37191320076994
baseline_pool_l,v6 / 10 epochs,2022-02-10,v6 / 10 epochs,-574.272421,216.8272949546689
baseline_pool_l,v6 / 10 epochs,2022-02-11,v6 / 10 epochs,-633.460635,236.0983404628649
baseline_pool_l,v6 / 10 epochs,2022-02-14,v6 / 10 epochs,-566.558027,259.2673589986788
baseline_pool_l,v6 / 10 epochs,2022-02-15,v6 / 10 epochs,-437.525911,292.5680530552883
baseline_pool_l,v6 / 10 epochs,2022-02-16,v6 / 10 epochs,-398.07944,302.29577564730755
baseline_pool_l,v6 / 10 epochs,2022-02-17,v6 / 10 epochs,-350.011521,310.1757148339182
baseline_pool_l,v6 / 10 epochs,2022-02-18,v6 / 10 epochs,-146.88938,398.6460096111919
baseline_pool_l,v6 / 10 epochs,2022-02-21,v6 / 10 epochs,-131.144704,429.4658624490095
baseline_pool_l,v6 / 10 epochs,2022-02-22,v6 / 10 epochs,-47.485233,448.32415950434256
baseline_pool_l,v6 / 10 epochs,2022-02-23,v6 / 10 epochs,-59.772274,492.2531332583928
baseline_pool_l,v6 / 10 epochs,2022-02-24,v6 / 10 epochs,-100.371361,505.4802156440912
baseline_pool_l,v6 / 10 epochs,2022-02-25,v6 / 10 epochs,-97.413347,515.3474527330164
baseline_pool_l,v6 / 10 epochs,2022-02-28,v6 / 10 epochs,-0.654933,545.0148985827834
baseline_pool_l,v6 / 10 epochs,2022-03-01,v6 / 10 epochs,20.301452,529.4340892583057
baseline_pool_l,v6 / 10 epochs,2022-03-02,v6 / 10 epochs,65.731053,561.7829139240781
baseline_pool_l,v6 / 10 epochs,2022-03-03,v6 / 10 epochs,8.368523,588.0964370050648
baseline_pool_l,v6 / 10 epochs,2022-03-04,v6 / 10 epochs,-47.660198,642.292353231502
baseline_pool_l,v6 / 10 epochs,2022-03-07,v6 / 10 epochs,-231.776515,658.5136923954667
baseline_pool_l,v6 / 10 epochs,2022-03-08,v6 / 10 epochs,-344.623022,733.8209377435815
baseline_pool_l,v6 / 10 epochs,2022-03-09,v6 / 10 epochs,-217.249477,836.682148763931
baseline_pool_l,v6 / 10 epochs,2022-03-10,v6 / 10 epochs,-152.281627,864.2414813742315
baseline_pool_l,v6 / 10 epochs,2022-03-11,v6 / 10 epochs,-136.099996,886.9479241519731
baseline_pool_l,v6 / 10 epochs,2022-03-14,v6 / 10 epochs,-420.660004,954.5098692317506
baseline_pool_l,v6 / 10 epochs,2022-03-15,v6 / 10 epochs,-404.00552,1010.8474852358464
baseline_pool_l,v6 / 10 epochs,2022-03-16,v6 / 10 epochs,-152.84252,1046.64452569617
baseline_pool_l,v6 / 10 epochs,2022-03-17,v6 / 10 epochs,-75.789914,1044.9165548921512
baseline_pool_l,v6 / 10 epochs,2022-03-18,v6 / 10 epochs,68.451142,1067.3832605199923
baseline_pool_l,v6 / 10 epochs,2022-03-21,v6 / 10 epochs,122.15826,1088.48092683397
baseline_pool_l,v6 / 10 epochs,2022-03-22,v6 / 10 epochs,114.459289,1036.553242833035
baseline_pool_l,v6 / 10 epochs,2022-03-23,v6 / 10 epochs,54.487377,1017.1048641055336
baseline_pool_l,v6 / 10 epochs,2022-03-24,v6 / 10 epochs,15.106976,1010.50372117727
baseline_pool_l,v6 / 10 epochs,2022-03-25,v6 / 10 epochs,-86.726464,970.6973160341162
baseline_pool_l,v6 / 10 epochs,2022-03-28,v6 / 10 epochs,-111.049167,966.5894851238332
baseline_pool_l,v6 / 10 epochs,2022-03-29,v6 / 10 epochs,-92.405758,967.2843842742944
baseline_pool_l,v6 / 10 epochs,2022-03-30,v6 / 10 epochs,-29.381018,975.3860920987202
baseline_pool_l,v6 / 10 epochs,2022-03-31,v6 / 10 epochs,-65.873912,948.6442042067292
baseline_pool_l,v6 / 10 epochs,2022-04-01,v6 / 10 epochs,-4.134018,942.2429474149084
baseline_pool_l,v6 / 10 epochs,2022-04-06,v6 / 10 epochs,-74.187888,948.0307903289925
baseline_pool_l,v6 / 10 epochs,2022-04-07,v6 / 10 epochs,-193.022425,954.388786101634
baseline_pool_l,v6 / 10 epochs,2022-04-08,v6 / 10 epochs,-323.183689,1015.7577466746473
baseline_pool_l,v6 / 10 epochs,2022-04-11,v6 / 10 epochs,-328.628899,1036.5126080561838
