score_bucket,lower_bps,observations,rank_start,rank_end,upper_bps,midpoint_bps,interval,share_within_score_bucket
1,-5400,0,1,100,-5300,-5350.0,"[-5400, -5300)",0.0
1,-5300,0,1,100,-5200,-5250.0,"[-5300, -5200)",0.0
1,-5200,0,1,100,-5100,-5150.0,"[-5200, -5100)",0.0
1,-5100,0,1,100,-5000,-5050.0,"[-5100, -5000)",0.0
1,-5000,0,1,100,-4900,-4950.0,"[-5000, -4900)",0.0
1,-4900,1,1,100,-4800,-4850.0,"[-4900, -4800)",1.0319917440660475e-06
1,-4800,1,1,100,-4700,-4750.0,"[-4800, -4700)",1.0319917440660475e-06
1,-4700,2,1,100,-4600,-4650.0,"[-4700, -4600)",2.063983488132095e-06
1,-4600,0,1,100,-4500,-4550.0,"[-4600, -4500)",0.0
1,-4500,0,1,100,-4400,-4450.0,"[-4500, -4400)",0.0
1,-4400,2,1,100,-4300,-4350.0,"[-4400, -4300)",2.063983488132095e-06
1,-4300,1,1,100,-4200,-4250.0,"[-4300, -4200)",1.0319917440660475e-06
1,-4200,4,1,100,-4100,-4150.0,"[-4200, -4100)",4.12796697626419e-06
1,-4100,5,1,100,-4000,-4050.0,"[-4100, -4000)",5.159958720330238e-06
1,-4000,4,1,100,-3900,-3950.0,"[-4000, -3900)",4.12796697626419e-06
1,-3900,3,1,100,-3800,-3850.0,"[-3900, -3800)",3.095975232198142e-06
1,-3800,5,1,100,-3700,-3750.0,"[-3800, -3700)",5.159958720330238e-06
1,-3700,8,1,100,-3600,-3650.0,"[-3700, -3600)",8.25593395252838e-06
1,-3600,16,1,100,-3500,-3550.0,"[-3600, -3500)",1.651186790505676e-05
1,-3500,6,1,100,-3400,-3450.0,"[-3500, -3400)",6.191950464396284e-06
1,-3400,13,1,100,-3300,-3350.0,"[-3400, -3300)",1.3415892672858617e-05
1,-3300,8,1,100,-3200,-3250.0,"[-3300, -3200)",8.25593395252838e-06
1,-3200,19,1,100,-3100,-3150.0,"[-3200, -3100)",1.9607843137254903e-05
1,-3100,27,1,100,-3000,-3050.0,"[-3100, -3000)",2.7863777089783283e-05
1,-3000,47,1,100,-2900,-2950.0,"[-3000, -2900)",4.850361197110423e-05
1,-2900,15,1,100,-2800,-2850.0,"[-2900, -2800)",1.5479876160990712e-05
1,-2800,16,1,100,-2700,-2750.0,"[-2800, -2700)",1.651186790505676e-05
1,-2700,16,1,100,-2600,-2650.0,"[-2700, -2600)",1.651186790505676e-05
1,-2600,19,1,100,-2500,-2550.0,"[-2600, -2500)",1.9607843137254903e-05
1,-2500,20,1,100,-2400,-2450.0,"[-2500, -2400)",2.063983488132095e-05
1,-2400,31,1,100,-2300,-2350.0,"[-2400, -2300)",3.199174406604747e-05
1,-2300,33,1,100,-2200,-2250.0,"[-2300, -2200)",3.4055727554179566e-05
1,-2200,65,1,100,-2100,-2150.0,"[-2200, -2100)",6.707946336429309e-05
1,-2100,85,1,100,-2000,-2050.0,"[-2100, -2000)",8.771929824561403e-05
1,-2000,101,1,100,-1900,-1950.0,"[-2000, -1900)",0.00010423116615067079
1,-1900,165,1,100,-1800,-1850.0,"[-1900, -1800)",0.00017027863777089783
1,-1800,202,1,100,-1700,-1750.0,"[-1800, -1700)",0.00020846233230134158
1,-1700,260,1,100,-1600,-1650.0,"[-1700, -1600)",0.00026831785345717235
1,-1600,398,1,100,-1500,-1550.0,"[-1600, -1500)",0.0004107327141382869
1,-1500,532,1,100,-1400,-1450.0,"[-1500, -1400)",0.0005490196078431372
1,-1400,795,1,100,-1300,-1350.0,"[-1400, -1300)",0.0008204334365325077
1,-1300,1258,1,100,-1200,-1250.0,"[-1300, -1200)",0.0012982456140350877
1,-1200,1870,1,100,-1100,-1150.0,"[-1200, -1100)",0.0019298245614035089
1,-1100,2834,1,100,-1000,-1050.0,"[-1100, -1000)",0.0029246646026831785
1,-1000,4382,1,100,-900,-950.0,"[-1000, -900)",0.00452218782249742
1,-900,6974,1,100,-800,-850.0,"[-900, -800)",0.007197110423116615
1,-800,10685,1,100,-700,-750.0,"[-800, -700)",0.011026831785345716
