case,window,horizon,universe_short_rank_ic,pool_L_short_excess_bps,pool_L_next_excess_bps,pool_L_next_rank_ic,mean_best_epoch
w0931_0940_h1m,09:31-09:40,1m,0.1621779849611688,11.960897,17.613222977699667,0.0093231851155607,14.25
w0931_0940_h3m,09:31-09:40,3m,0.1090483095910583,12.816536,20.46887339485848,0.0104917633498636,14.625
w0931_0940_h5m,09:31-09:40,5m,0.0890665368544409,13.388696,20.00020290189609,0.0103904184940594,18.125
w0931_0940_h10m,09:31-09:40,10m,0.0666432588833932,13.999484,20.659497436804465,0.0107391141522697,27.25
w0931_0940_h1h,09:31-09:40,1h,0.03128595772344,16.393404,19.692941048711983,0.0105665772466828,30.0
w0931_0940_hclose,09:31-09:40,close,0.030754652720833,20.725555,19.80570115538727,0.0142678054920803,29.875
w1001_1010_h1m,10:01-10:10,1m,0.2633421455880794,8.5194645,7.172365821117363,0.004638765056999,13.375
w1001_1010_h3m,10:01-10:10,3m,0.1892915135029008,8.533877,9.358894806156105,0.0058057443051536,15.375
w1001_1010_h5m,10:01-10:10,5m,0.1565456756768378,8.561371,10.323087091072832,0.0063315562299528,13.625
w1001_1010_h10m,10:01-10:10,10m,0.1139368901266082,8.310719,10.50862783037052,0.0081639049455147,26.75
w1001_1010_h1h,10:01-10:10,1h,0.0434797901735214,7.635875,9.890421687115513,0.0121025935930387,29.875
w1001_1010_hclose,10:01-10:10,close,0.0410581244544951,14.554627,10.712010827117693,0.0149567516670342,30.0
w1401_1410_h1m,14:01-14:10,1m,0.3800546783566493,7.6319327,1.150846487759538,0.0095919709782519,12.25
w1401_1410_h3m,14:01-14:10,3m,0.3175849618916475,8.084341,2.1626419519717937,0.0124480359943853,12.875
w1401_1410_h5m,14:01-14:10,5m,0.2815882648305352,8.04662,2.7230731215090143,0.0133380836012881,16.625
