case,window,horizon,test_fold,run_id,test_year,test_month,train_start_date,train_end_date,test_start_date,test_end_date,train_rows,train_dates,train_symbols,test_rows,test_dates,test_symbols,features,model_name,alpha,model_target_col,model_test_r2,ic_mode,selection_mode,top_n,stock_pool_enabled,stock_pool_name,stock_pool_path,stock_pool_date_lag_sessions,stock_pool_filter_train,stock_pool_filter_selection,stock_pool_add_feature,rows,dates,symbols,sample_grain,ic_grouping,ic_groups,overall_ic,overall_rank_ic,group_ic_mean,group_ic_std,group_ic_ir,group_rank_ic_mean,group_rank_ic_std,group_rank_ic_ir,daily_ic_mean,daily_ic_std,daily_ic_ir,daily_rank_ic_mean,daily_rank_ic_std,daily_rank_ic_ir,mean_label,win_rate,top_score_trades,top_score_groups,top_score_group_cols,top_score_mean_return,top_score_median_return,top_score_win_rate,top_score_return_std
w0931_0940_h1m,09:31-09:40,1m,2022-01,nn_ds350_w0931_0940_h1m_36m_grouped_gated_v2_mse_max30_v1,2022,2022-01,2019-01-02,2021-12-31,2022-01-04,2022-06-30,28460161,730,4648,5380330,117,4751,350,torch_mlp,1.0,target_label,0.0576721608406934,cross_section,cross_section,100,False,,,0,False,False,False,5380330,117,4751,date x symbol x opening_tick,"date,decision_target_timestamp",1170,0.2400257542022328,0.1711757754843696,0.2576520688907727,0.0611263556386206,4.215073288746566,0.1916444220067433,0.0593890982069292,3.226929315191774,0.2417903814620019,0.040849483016554,5.919056095863387,0.1742052005148025,0.0408794186633509,4.261440260425726,-0.0009627722902223,0.3793165103255748,117000,1170,"date,decision_target_timestamp",0.0025839123409241,0.0014938067179173,0.5786666666666667,0.0113270981237292
w0931_0940_h1m,09:31-09:40,1m,2022-07,nn_ds350_w0931_0940_h1m_36m_grouped_gated_v2_mse_max30_v1,2022,2022-07,2019-07-01,2022-06-30,2022-07-01,2022-12-30,29678007,729,4798,5951569,125,4906,350,torch_mlp,1.0,target_label,0.0382597021756102,cross_section,cross_section,100,False,,,0,False,False,False,5951569,125,4906,date x symbol x opening_tick,"date,decision_target_timestamp",1250,0.2027019316524217,0.1626958335998031,0.2117728489971187,0.0511514623039745,4.140113292140696,0.172866403058849,0.0605430021615603,2.855266453380544,0.2026220900351719,0.0279406307041674,7.251879607891246,0.1621895961373216,0.0310091378157452,5.230380705875935,-0.0009624289814382,0.3655306693075389,125000,1250,"date,decision_target_timestamp",0.001837870106101,0.0009950181702151,0.557592,0.0101497527211904
w0931_0940_h1m,09:31-09:40,1m,2023-01,nn_ds350_w0931_0940_h1m_36m_grouped_gated_v2_mse_max30_v1,2023,2023-01,2020-01-02,2022-12-30,2023-01-03,2023-06-30,31086033,728,4983,5780488,118,5036,350,torch_mlp,1.0,target_label,0.0451791313526686,cross_section,cross_section,100,False,,,0,False,False,False,5780488,118,5036,date x symbol x opening_tick,"date,decision_target_timestamp",1180,0.2137548828370294,0.1647803761752639,0.2206123631045606,0.0587868795264079,3.752748315301518,0.1700534807669548,0.0519456461248752,3.273681115798485,0.2111282504015734,0.0302657246411118,6.975820103602767,0.1604846603653073,0.0268973241476054,5.966566022873115,-0.000839582295157,0.3571419921639834,118000,1180,"date,decision_target_timestamp",0.0015526645584031,0.0007296881522051,0.5481949152542372,0.0095774047076702
w0931_0940_h1m,09:31-09:40,1m,2023-07,nn_ds350_w0931_0940_h1m_36m_grouped_gated_v2_mse_max30_v1,2023,2023-07,2020-07-01,2023-06-30,2023-07-03,2023-12-29,32495338,729,5109,6223665,124,5111,350,torch_mlp,1.0,target_label,0.0419546295067654,cross_section,cross_section,100,False,,,0,False,False,False,6223665,124,5111,date x symbol x opening_tick,"date,decision_target_timestamp",1240,0.2013824927069998,0.1477490130983756,0.2155064818281879,0.0648801510330836,3.321608818670859,0.161189814450855,0.0552610944731497,2.9168769816742217,0.1986616463017405,0.0340172721736869,5.840022835676095,0.143041853625282,0.0296480315566861,4.824666128400136,-0.0007912864093668,0.3661432612455844,124000,1240,"date,decision_target_timestamp",0.0013927053660154,0.0004529144498519,0.5287580645161291,0.0103172054514288
w0931_0940_h1m,09:31-09:40,1m,2024-01,nn_ds350_w0931_0940_h1m_36m_grouped_gated_v2_mse_max30_v1,2024,2024-01,2021-01-04,2023-12-29,2024-01-02,2024-06-28,33766250,727,5202,5916143,117,5127,350,torch_mlp,1.0,target_label,0.0421153169407869,cross_section,cross_section,100,False,,,0,False,False,False,5916143,117,5127,date x symbol x opening_tick,"date,decision_target_timestamp",1170,0.1865699016571033,0.1387754028810461,0.2165919369632078,0.0713291719753764,3.0365127053203063,0.1621203297167538,0.0776597274575758,2.087572735885756,0.1948628037979508,0.0443646087734239,4.392302990727172,0.1389733509936577,0.0483136298137788,2.876483334605983,-0.0009418379049748,0.382575776143342,117000,1170,"date,decision_target_timestamp",0.0015455932589247,0.0005556296091526,0.535974358974359,0.010869588702917
w0931_0940_h1m,09:31-09:40,1m,2024-07,nn_ds350_w0931_0940_h1m_36m_grouped_gated_v2_mse_max30_v1,2024,2024-07,2021-07-01,2024-06-28,2024-07-01,2024-12-31,34776925,726,5226,6295947,125,5136,350,torch_mlp,1.0,target_label,0.0304051557292166,cross_section,cross_section,100,False,,,0,False,False,False,6295947,125,5136,date x symbol x opening_tick,"date,decision_target_timestamp",1250,0.1865628640130712,0.143113915180868,0.2091080657004563,0.0739073945631729,2.8293253596122847,0.1671137420551651,0.0893972666798494,1.869338384289028,0.1878325994941473,0.0454303560485343,4.1345174423348405,0.1409098507128415,0.0611080686336666,2.305912359259365,-0.0009550883551128,0.3785559185933426,125000,1250,"date,decision_target_timestamp",0.0016114934114739,0.0003371713683009,0.521952,0.0124000934883952
w0931_0940_h1m,09:31-09:40,1m,2025-01,nn_ds350_w0931_0940_h1m_36m_grouped_gated_v2_mse_max30_v1,2025,2025-01,2022-01-04,2024-12-31,2025-01-02,2025-06-30,35548142,726,5260,5952000,117,5167,350,torch_mlp,1.0,target_label,0.0203479002580152,cross_section,cross_section,100,False,,,0,False,False,False,5952000,117,5167,date x symbol x opening_tick,"date,decision_target_timestamp",1170,0.1475806743385829,0.1205043440602305,0.1611659921666295,0.0706852090941176,2.280052563076334,0.1360627085768945,0.082612115757733,1.6470067051170785,0.1447514093193149,0.0386154600787783,3.7485351469077832,0.1163608029266617,0.0415314865960428,2.8017490454519085,-0.0008046282455325,0.3781586021505376,117000,1170,"date,decision_target_timestamp",0.0008796931942924,-0.0001126389106502,0.491025641025641,0.0108807729557156
w0931_0940_h1m,09:31-09:40,1m,2025-07,nn_ds350_w0931_0940_h1m_36m_grouped_gated_v2_mse_max30_v1,2025,2025-07,2022-07-01,2025-06-30,2025-07-01,2025-12-31,36119812,726,5266,6451329,126,5195,350,torch_mlp,1.0,target_label,0.0197153447876377,cross_section,cross_section,100,False,,,0,False,False,False,6451329,126,5195,date x symbol x opening_tick,"date,decision_target_timestamp",1260,0.1400282247941756,0.1253638902725773,0.1499541439476401,0.0723716239608939,2.0720019220332557,0.1372165770680022,0.0760896277631927,1.8033545583249488,0.1396674589593152,0.0439095193258368,3.180801363888613,0.1259960886350574,0.0433119150329764,2.909039892120391,-0.0006317308871075,0.3768098015153157,126000,1260,"date,decision_target_timestamp",0.0006766170845367,-0.000192301813513,0.4853412698412698,0.0106374574825167
w0931_0940_h3m,09:31-09:40,3m,2022-01,nn_ds350_w0931_0940_h3m_36m_grouped_gated_v2_mse_max30_v1,2022,2022-01,2019-01-02,2021-12-31,2022-01-04,2022-06-30,28429508,730,4648,5375724,117,4751,350,torch_mlp,1.0,target_label,0.0302026571557221,cross_section,cross_section,100,False,,,0,False,False,False,5375724,117,4751,date x symbol x opening_tick,"date,decision_target_timestamp",1170,0.1812040063274509,0.1283817467089694,0.1907900032722936,0.0568127052205597,3.358227750845587,0.1395840218795011,0.0593975963295483,2.3499944527227075,0.1836692849667943,0.0361514896071182,5.080545420475004,0.1313191319042156,0.0413511808528261,3.175704519094537,-0.0008618325809948,0.4126298150723512,117000,1170,"date,decision_target_timestamp",0.0030877029057592,0.0014632805250585,0.5567264957264957,0.0156909301877021
w0931_0940_h3m,09:31-09:40,3m,2022-07,nn_ds350_w0931_0940_h3m_36m_grouped_gated_v2_mse_max30_v1,2022,2022-07,2019-07-01,2022-06-30,2022-07-01,2022-12-30,29645636,729,4798,5947192,125,4906,350,torch_mlp,1.0,target_label,0.0164534947703777,cross_section,cross_section,100,False,,,0,False,False,False,5947192,125,4906,date x symbol x opening_tick,"date,decision_target_timestamp",1250,0.1443008561632289,0.1169202620055063,0.1495849462488595,0.0473511090462024,3.1590589800738,0.1243940010198716,0.0534412019248331,2.3276797029160394,0.1448780327193111,0.0283936942427825,5.102472101041869,0.1167114511532859,0.0320941560259949,3.636532802381666,-0.0008937518578022,0.3985364857902687,125000,1250,"date,decision_target_timestamp",0.002091568429023,0.0007973990868777,0.53244,0.0141710406169295
