case,window,horizon,pool,year,half,months,short_internal_excess_bps,next_internal_excess_bps,short_rank_ic,next_rank_ic,short_positive_months,next_positive_months
w0931_0940_h1m,09:31-09:40,1m,universe,2022,H1,6,35.182377,9.921900953826151,0.1907119947537863,0.0219948444788268,6,3
w0931_0940_h1m,09:31-09:40,1m,universe,2022,H2,6,27.86537,7.537521394415958,0.1726710451256179,0.0139233670751418,6,3
w0931_0940_h1m,09:31-09:40,1m,universe,2023,H1,6,23.904776,25.4603133903407,0.1700232070594954,0.0216280480453918,6,5
w0931_0940_h1m,09:31-09:40,1m,universe,2023,H2,6,21.77066,-3.146223062444282,0.1606137970467017,0.0016785739126968,6,2
w0931_0940_h1m,09:31-09:40,1m,universe,2024,H1,6,24.984533,4.542488152817329,0.160936815991265,0.0339477631991706,6,3
w0931_0940_h1m,09:31-09:40,1m,universe,2024,H2,6,26.077066,0.7590730456330211,0.1663766335698235,-0.0007857231623005,6,2
w0931_0940_h1m,09:31-09:40,1m,universe,2025,H1,6,16.854261,-6.664607836621301,0.1360399807668508,0.0089782030718229,6,3
w0931_0940_h1m,09:31-09:40,1m,universe,2025,H2,6,13.030301,-7.594527136988636,0.136045129728547,0.0151828563454079,6,3
w0931_0940_h1m,09:31-09:40,1m,pool_L,2022,H1,6,18.81061,26.937086143812,0.1710838996782395,0.0177172623139697,6,6
w0931_0940_h1m,09:31-09:40,1m,pool_L,2022,H2,6,15.076885,10.94560823569047,0.1516439075702044,0.0118420597392956,6,4
w0931_0940_h1m,09:31-09:40,1m,pool_L,2023,H1,6,13.146274,33.32790623285691,0.1508592430204503,0.0150767609422538,6,6
w0931_0940_h1m,09:31-09:40,1m,pool_L,2023,H2,6,9.579726,10.406703086537386,0.1386595761833107,-0.0063939038082206,6,5
w0931_0940_h1m,09:31-09:40,1m,pool_L,2024,H1,6,12.167918,20.4738366462971,0.1449718980543156,0.028969166697013,6,4
w0931_0940_h1m,09:31-09:40,1m,pool_L,2024,H2,6,12.504359,12.288905149428452,0.1559125449858297,-0.0056803063131474,6,4
w0931_0940_h1m,09:31-09:40,1m,pool_L,2025,H1,6,7.5651107,16.975244926408667,0.1340000740636365,0.0060708444530276,6,4
w0931_0940_h1m,09:31-09:40,1m,pool_L,2025,H2,6,7.2194138,14.92442038756291,0.1276256988878073,0.0104588883708764,6,4
w0931_0940_h3m,09:31-09:40,3m,universe,2022,H1,6,39.24261,25.78556973788848,0.1387517974037366,0.0254345488000812,6,4
