case,window,horizon,pool,test_month,groups,months,candidate_rows,selected_rows,pool_short_mean_bps,selected_short_mean_bps,short_internal_excess_bps,pool_next_mean_bps,selected_next_mean_bps,next_internal_excess_bps,short_rank_ic,next_rank_ic
w0931_0940_h1m,09:31-09:40,1m,universe,2022Q1,580,3,4574.589655172414,100.0,-10.096039,26.058731,36.15477,-42.59172792842582,-18.956260231796453,23.63546769662937,0.1866711802376486,0.008026625980021
w0931_0940_h1m,09:31-09:40,1m,universe,2022Q2,590,3,4622.149152542373,100.0,-9.135125,25.62324,34.758366,9.59243304779522,4.079038609070617,-5.513394438724603,0.1965333715424634,0.0347438680499429
w0931_0940_h1m,09:31-09:40,1m,universe,2022Q3,650,3,4712.332307692308,100.0,-10.210277,20.235624,30.445898,-34.023738500412335,-26.212008956743976,7.811729543668362,0.1782622149013246,0.0074642277681931
w0931_0940_h1m,09:31-09:40,1m,universe,2022Q4,600,3,4814.255,100.0,-8.979641,16.367039,25.34668,20.19177570184526,25.47010609779964,5.278330395954375,0.1670209402295004,0.0191601111061117
w0931_0940_h1m,09:31-09:40,1m,universe,2023Q1,590,3,4874.31186440678,100.0,-7.559466,13.557385,21.116852,18.616830222659257,36.692546009357386,18.07571578669813,0.176511783749336,0.0238859910809677
w0931_0940_h1m,09:31-09:40,1m,universe,2023Q2,590,3,4923.125423728814,100.0,-9.215606,17.495905,26.711512,-3.8902920448007,31.854346706868476,35.74463875166917,0.1635951777845735,0.0177501778809962
w0931_0940_h1m,09:31-09:40,1m,universe,2023Q3,640,3,4997.090625,100.0,-8.406504,14.480537,22.887041,-17.291476564889102,-19.10353436917589,-1.8120578042867816,0.1628509138213054,5.6848058999996846e-05
w0931_0940_h1m,09:31-09:40,1m,universe,2023Q4,600,3,5042.545,100.0,-7.381974,13.336672,20.718645,3.5575962873662728,-1.470758137974312,-5.028354425340585,0.1594179751223746,0.0043259770133367
w0931_0940_h1m,09:31-09:40,1m,universe,2024Q1,580,3,5061.212068965518,100.0,-8.497933,17.388603,25.886538,-20.051983674158578,-5.918306371803151,14.133677302355428,0.1552042338351692,0.0140805286844433
w0931_0940_h1m,09:31-09:40,1m,universe,2024Q2,590,3,5051.932203389831,100.0,-10.314391,13.556018,23.87041,-37.61654048212096,-50.9013811376316,-13.28484065551064,0.1689192036342436,0.0485378205411147
w0931_0940_h1m,09:31-09:40,1m,universe,2024Q3,640,3,5028.1390625,100.0,-10.104639,11.076696,21.181334,57.76230402244802,55.768414472695326,-1.9938895497527,0.1961270569091245,-0.0141936204556482
w0931_0940_h1m,09:31-09:40,1m,universe,2024Q4,610,3,5045.8,100.0,-9.005498,21.400957,30.406454,-13.002545274883223,-16.613517410185697,-3.6109721353024726,0.1366735428641257,0.0128677435652749
w0931_0940_h1m,09:31-09:40,1m,universe,2025Q1,570,3,5083.117543859649,100.0,-7.5592737,10.340831,17.900105,25.089339588545908,12.555352122403669,-12.53398746614224,0.1354606656696939,0.0208495670112902
w0931_0940_h1m,09:31-09:40,1m,universe,2025Q2,600,3,5091.038333333333,100.0,-8.500218,7.330227,15.830446,22.88610325702613,20.0034474379804,-2.8826558190457283,0.1366346493387351,-0.0029550312209516
w0931_0940_h1m,09:31-09:40,1m,universe,2025Q3,660,3,5115.89696969697,100.0,-5.9304333,8.096846,14.027279,34.692147911002,25.05094955698199,-9.641198354020007,0.1433873725827506,0.0224720282641757
