case,window,horizon,pool,variant,run_id,groups,months,candidate_rows,selected_rows,pool_short_mean_bps,selected_short_mean_bps,short_internal_excess_bps,pool_next_mean_bps,selected_next_mean_bps,next_internal_excess_bps,short_rank_ic,next_rank_ic,short_positive_months,next_positive_months,short_positive_clocks,next_positive_clocks
w0931_0940_h1m,09:31-09:40,1m,universe,w0931_0940_h1m,nn_ds350_w0931_0940_h1m_36m_grouped_gated_v2_mse_max30_v1,9690,48,4948.55221878225,100.0,-8.59841,15.050674,23.649084,2.3825026422007927,4.979347856666952,2.59684521446616,0.1621779849611688,0.014008633233894,48,24,10,6
w0931_0940_h1m,09:31-09:40,1m,pool_L,w0931_0940_h1m,nn_ds350_w0931_0940_h1m_36m_grouped_gated_v2_mse_max30_v1,9690,48,3373.667285861713,100.0,-8.254118,3.706779,11.960897,11.158507185691578,28.771730163391247,17.613222977699667,0.1474714733070567,0.0093231851155607,48,37,10,10
w0931_0940_h3m,09:31-09:40,3m,universe,w0931_0940_h3m,nn_ds350_w0931_0940_h3m_36m_grouped_gated_v2_mse_max30_v1,9690,48,4945.336222910217,100.0,-7.5991464,18.138351,25.7375,2.3918817616400694,11.573547263714438,9.181665502074368,0.1090483095910583,0.0156175377669444,48,28,10,8
w0931_0940_h3m,09:31-09:40,3m,pool_L,w0931_0940_h3m,nn_ds350_w0931_0940_h3m_36m_grouped_gated_v2_mse_max30_v1,9690,48,3371.8131062951497,100.0,-7.364012,5.452524,12.816536,11.164375599822762,31.63324899468124,20.46887339485848,0.0970903969489252,0.0104917633498636,48,37,10,10
w0931_0940_h5m,09:31-09:40,5m,universe,w0931_0940_h5m,nn_ds350_w0931_0940_h5m_36m_grouped_gated_v2_mse_max30_v1,9690,48,4942.731682146543,100.0,-6.867989,20.702238,27.570227,2.4051119939692973,11.521327957211003,9.116215963241707,0.0890665368544409,0.0149769971367455,48,31,10,8
w0931_0940_h5m,09:31-09:40,5m,pool_L,w0931_0940_h5m,nn_ds350_w0931_0940_h5m_36m_grouped_gated_v2_mse_max30_v1,9690,48,3370.4669762641897,100.0,-6.6992383,6.6894574,13.388696,11.173095268859733,31.173298170755825,20.00020290189609,0.0782545642067446,0.0103904184940594,48,37,10,10
w0931_0940_h10m,09:31-09:40,10m,universe,w0931_0940_h10m,nn_ds350_w0931_0940_h10m_36m_grouped_gated_v2_mse_max30_v1,9690,48,4935.066357069143,100.0,-5.7767158,22.929493,28.706207,2.4323730897603717,9.859595036199886,7.4272219464395155,0.0666432588833932,0.0144377170054843,48,29,10,8
w0931_0940_h10m,09:31-09:40,10m,pool_L,w0931_0940_h10m,nn_ds350_w0931_0940_h10m_36m_grouped_gated_v2_mse_max30_v1,9690,48,3366.092156862745,100.0,-5.6600266,8.339457,13.999484,11.195914710686292,31.85541214749076,20.659497436804465,0.0576836602051415,0.0107391141522697,47,39,10,10
w0931_0940_h1h,09:31-09:40,1h,universe,w0931_0940_h1h,nn_ds350_w0931_0940_h1h_36m_grouped_gated_v2_mse_max30_v1,9690,48,4828.87729618163,100.0,-1.8603239,35.782692,37.643017,2.82307014338385,2.2353473603584475,-0.5877227830254024,0.03128595772344,0.0111442153936753,48,24,10,5
w0931_0940_h1h,09:31-09:40,1h,pool_L,w0931_0940_h1h,nn_ds350_w0931_0940_h1h_36m_grouped_gated_v2_mse_max30_v1,9690,48,3300.239628482972,100.0,-1.902492,14.490912,16.393404,11.59614297471948,31.289084023431457,19.692941048711983,0.0255333710357857,0.0105665772466828,45,38,10,10
w0931_0940_hclose,09:31-09:40,close,universe,w0931_0940_hclose,nn_ds350_w0931_0940_hclose_36m_grouped_gated_v2_mse_max30_v1,9690,48,4969.555211558308,100.0,0.10031109,40.447834,40.347523,2.2526693864871903,10.124266124965,7.871596738477807,0.030754652720833,0.0191362742338618,48,28,10,9
w0931_0940_hclose,09:31-09:40,close,pool_L,w0931_0940_hclose,nn_ds350_w0931_0940_hclose_36m_grouped_gated_v2_mse_max30_v1,9690,48,3383.46346749226,100.0,0.94053066,21.666084,20.725555,11.08059384293854,30.88629499832581,19.80570115538727,0.0231377747306647,0.0142678054920803,46,38,10,10
w1001_1010_h1m,10:01-10:10,1m,universe,w1001_1010_h1m,nn_ds350_w1001_1010_h1m_36m_grouped_gated_v2_mse_max30_v1,9690,48,4883.997832817337,100.0,-7.8491726,7.1149955,14.964169,-1.7786368387901268,-21.218104912625435,-19.439468073835307,0.2633421455880794,0.0085560241840622,48,12,10,0
w1001_1010_h1m,10:01-10:10,1m,pool_L,w1001_1010_h1m,nn_ds350_w1001_1010_h1m_36m_grouped_gated_v2_mse_max30_v1,9690,48,3337.2478844169245,100.0,-7.624649,0.894815,8.5194645,7.0598620319308445,14.232227853048208,7.172365821117363,0.2511594845541013,0.004638765056999,48,29,10,10
w1001_1010_h3m,10:01-10:10,3m,universe,w1001_1010_h3m,nn_ds350_w1001_1010_h3m_36m_grouped_gated_v2_mse_max30_v1,9690,48,4879.06769865841,100.0,-7.7764683,6.896588,14.673057,-1.779757966839282,-17.464144991837305,-15.68438702499802,0.1892915135029008,0.0096898704655014,48,15,10,0
w1001_1010_h3m,10:01-10:10,3m,pool_L,w1001_1010_h3m,nn_ds350_w1001_1010_h3m_36m_grouped_gated_v2_mse_max30_v1,9690,48,3334.1191950464395,100.0,-7.6060724,0.927805,8.533877,7.061567850058864,16.420462656214966,9.358894806156105,0.1793781590931953,0.0058057443051536,48,33,10,10
w1001_1010_h5m,10:01-10:10,5m,universe,w1001_1010_h5m,nn_ds350_w1001_1010_h5m_36m_grouped_gated_v2_mse_max30_v1,9690,48,4874.923839009288,100.0,-7.674364,7.1088495,14.783214,-1.7743857809525134,-13.779947827444277,-12.00556204649176,0.1565456756768378,0.0111063704590428,48,17,10,0
w1001_1010_h5m,10:01-10:10,5m,pool_L,w1001_1010_h5m,nn_ds350_w1001_1010_h5m_36m_grouped_gated_v2_mse_max30_v1,9690,48,3331.6016511867906,100.0,-7.549738,1.0116333,8.561371,7.066368858450021,17.389455949522855,10.323087091072832,0.1474059031356991,0.0063315562299528,48,34,10,10
w1001_1010_h10m,10:01-10:10,10m,universe,w1001_1010_h10m,nn_ds350_w1001_1010_h10m_36m_grouped_gated_v2_mse_max30_v1,9690,48,4863.591847265222,100.0,-7.138739,7.282641,14.42138,-1.758242739314109,-19.584979896627413,-17.826737157313303,0.1139368901266082,0.0109412843402372,48,15,10,0
w1001_1010_h10m,10:01-10:10,10m,pool_L,w1001_1010_h10m,nn_ds350_w1001_1010_h10m_36m_grouped_gated_v2_mse_max30_v1,9690,48,3324.507636738906,100.0,-7.106538,1.2041807,8.310719,7.08050876275728,17.589136593127805,10.50862783037052,0.1069136634950009,0.0081639049455147,48,31,10,10
w1001_1010_h1h,10:01-10:10,1h,universe,w1001_1010_h1h,nn_ds350_w1001_1010_h1h_36m_grouped_gated_v2_mse_max30_v1,9690,48,4752.710216718267,100.0,-4.293177,10.465024,14.758201,-1.4476866033935818,-23.608308566593355,-22.160621963199773,0.0434797901735214,0.0131841155281326,46,13,10,0
w1001_1010_h1h,10:01-10:10,1h,pool_L,w1001_1010_h1h,nn_ds350_w1001_1010_h1h_36m_grouped_gated_v2_mse_max30_v1,9690,48,3253.7679050567594,100.0,-4.308178,3.3276968,7.635875,7.398959895953456,17.289381583068966,9.890421687115513,0.0401412012056294,0.0121025935930387,41,31,10,10
w1001_1010_hclose,10:01-10:10,close,universe,w1001_1010_hclose,nn_ds350_w1001_1010_hclose_36m_grouped_gated_v2_mse_max30_v1,9690,48,4953.075128998968,100.0,-3.4046166,19.025743,22.43036,-1.9445188631443355,-13.585708437251556,-11.64118957410722,0.0410581244544951,0.0209301041514257,45,15,10,0
w1001_1010_hclose,10:01-10:10,close,pool_L,w1001_1010_hclose,nn_ds350_w1001_1010_hclose_36m_grouped_gated_v2_mse_max30_v1,9690,48,3374.8874097007224,100.0,-2.6276193,11.927009,14.554627,6.970337888698391,17.682348715816083,10.712010827117693,0.0337441348162394,0.0149567516670342,42,33,10,10
w1401_1410_h1m,14:01-14:10,1m,universe,w1401_1410_h1m,nn_ds350_w1401_1410_h1m_36m_grouped_gated_v2_mse_max30_v1,9690,48,4758.997316821466,100.0,-7.6210938,4.3004394,11.921534,-4.026913843609496,-29.30054747645275,-25.27363363284325,0.3800546783566493,0.0144391799343051,48,5,10,0
w1401_1410_h1m,14:01-14:10,1m,pool_L,w1401_1410_h1m,nn_ds350_w1401_1410_h1m_36m_grouped_gated_v2_mse_max30_v1,9690,48,3261.2907120743034,100.0,-7.3885217,0.24341087,7.6319327,4.905460002746703,6.05630649050624,1.150846487759538,0.3739309023882164,0.0095919709782519,48,26,10,8
w1401_1410_h3m,14:01-14:10,3m,universe,w1401_1410_h3m,nn_ds350_w1401_1410_h3m_36m_grouped_gated_v2_mse_max30_v1,9690,48,4757.551496388029,100.0,-7.8203406,4.778395,12.598736,-4.033006437323501,-27.187747907363725,-23.15474147004022,0.3175849618916475,0.0191852628126197,48,5,10,0
w1401_1410_h3m,14:01-14:10,3m,pool_L,w1401_1410_h3m,nn_ds350_w1401_1410_h3m_36m_grouped_gated_v2_mse_max30_v1,9690,48,3260.09226006192,100.0,-7.5635867,0.5207548,8.084341,4.899137652183809,7.0617796041556025,2.1626419519717937,0.3107796065114981,0.0124480359943853,48,28,10,9
w1401_1410_h5m,14:01-14:10,5m,universe,w1401_1410_h5m,nn_ds350_w1401_1410_h5m_36m_grouped_gated_v2_mse_max30_v1,9690,48,4759.9157894736845,100.0,-7.9051924,4.2563176,12.1615095,-4.036989741316677,-24.387747982208435,-20.35075824089176,0.2815882648305352,0.0214271342626798,48,6,10,0
w1401_1410_h5m,14:01-14:10,5m,pool_L,w1401_1410_h5m,nn_ds350_w1401_1410_h5m_36m_grouped_gated_v2_mse_max30_v1,9690,48,3261.9001031991743,100.0,-7.6324925,0.41412744,8.04662,4.896848991292227,7.619922112801241,2.7230731215090143,0.2743259105163593,0.0133380836012881,48,28,10,10
