score_bucket,rank_start,rank_end,observations,mean_excess_bps,median_excess_bps,positive_rate,positive_4000_count,negative_4000_count
1,1,100,969000,17.61245346069336,-45.15367126464844,0.44268214654282767,85,16
2,101,200,969000,9.206085205078125,-33.93442916870117,0.44373684210526315,36,28
3,201,300,969000,5.991945266723633,-31.073043823242188,0.4435593395252838,33,27
4,301,400,969000,4.591838836669922,-29.49277687072754,0.4432951496388029,19,20
5,401,500,969000,3.292062997817993,-28.44567108154297,0.4436078431372549,27,18
6,501,600,969000,2.1032755374908447,-28.155071258544922,0.44222394220846234,28,20
7,601,700,969000,1.7498186826705933,-27.93802261352539,0.441859649122807,21,25
8,701,800,969000,0.9995739459991455,-27.463531494140625,0.44164086687306503,25,27
9,801,900,969000,0.4420726001262665,-27.884349822998047,0.44028173374613006,26,25
10,901,1000,969000,0.7952786087989807,-27.40487289428711,0.44117234262125904,20,19
