universe,test_start,test_end,days,daily_rank_ic,top100_excess_bps
all_a,2022-01,2022-06,117,0.088725634,53.350951
all_a,2022-07,2022-12,125,0.087616815,64.570722
all_a,2023-01,2023-06,118,0.069891547,24.427808
all_a,2023-07,2023-12,124,0.100955994,14.801385
all_a,2024-01,2024-06,117,0.055958434,-12.878348
all_a,2024-07,2024-12,125,0.069846363,-5.043629
all_a,2025-01,2025-06,117,0.084636327,30.499366
all_a,2025-07,2025-12,126,0.085684696,33.339523
pool_l,2022-01,2022-06,117,0.059885134,22.037158
pool_l,2022-07,2022-12,125,0.066383713,21.478007
pool_l,2023-01,2023-06,118,0.057803517,22.984456
pool_l,2023-07,2023-12,124,0.082303313,7.426813
pool_l,2024-01,2024-06,117,0.036393025,3.883217
pool_l,2024-07,2024-12,125,0.040675564,-8.791659
pool_l,2025-01,2025-06,117,0.052672339,7.294003
pool_l,2025-07,2025-12,126,0.060358374,13.557950
